CVE,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT
CVE-2022-22155,uncontrolled resource consumption,memory leak,denial of service,,adjacent attacker,Juniper Networks Junos OS,,Flexible PIC Concentrator (FPC)
CVE-2022-22224,improper handling of exceptional conditions,,denial of service,malformed OSPF TLV,unauthenticated adjacent attacker,Juniper Networks Junos OS|Junos OS Evolved,,periodic packet management daemon (PPMD)
CVE-2022-22226,uncontrolled memory allocation,,denial of service,specific packets,unauthenticated adjacent attacker,Juniper Networks Junos OS,17.1R1 to 20.3R2,Packet Forwarding Engine (PFE)
CVE-2022-22228,improper validation of input,memory leak,denial of service,,attacker,Juniper Networks Junos OS,21.1 to 22.1,routing protocol daemon (rpd)
CVE-2022-23437,,infinite loop,consume system resources,specially crafted XML document payloads,,Apache Xerces Java,2.12.1 and previous,
CVE-2022-23606,,infinite recursion,crash,,,Envoy,,
CVE-2022-23641,,memory leaks | infinite loop,,streaming URL,users,Discourse,prior to 2.8.1|2.9.0.beta2,
CVE-2022-24373,,regular expression denial of service,,,,react-native-reanimated,before 3.0.0-rc.1,parser of Colors.js
CVE-2022-24448,uninitialized data,,,,,Linux kernel,before 5.16.5,fs/nfs/dir.c
CVE-2022-24713,improper mitigation,,denial of service,specially crafted regexes,,regex,before or equal to 1.5.4,
CVE-2022-2472,improper initialization,read encrypted admin password,,,local attacker,EZVIZ CS-C6N-A0-1C2WFR,prior to 5.3.0 build 220428,local server component
CVE-2022-24921,,stack exhaustion,,,,Go,before 1.16.15|1.17.x before 1.17.8,regexp.Compile
CVE-2022-25313,,stack exhaustion,,,attacker,Expat,before 2.4.5,build_model
CVE-2022-25598,,regular expression denial of service,,,,Apache DolphinScheduler,before 2.0.5,user registration
CVE-2022-25758,,regular expression denial of service,,,,scss-tokenizer,,loadAnnotation() function
CVE-2022-25844,,regular expression denial of service,,,,angular,1.7.0 and higher,
CVE-2022-25858,,regular expression denial of service,,,,terser,"before 4.8.1, 5.0.0 to 5.14.2",
CVE-2022-25887,,regular expression denial of service,,,,sanitize-html,before 2.7.1,
CVE-2022-25918,,regular expression denial of service,,,,shescape,1.5.10 to 1.6.1,escape function in index.js
CVE-2022-26356,race condition,memory leak,,,,Xen,,
CVE-2022-26878,,memory leak,,,,Linux kernel,before 5.16.3,drivers/bluetooth/virtio_bt.c
CVE-2022-27810,,infinite recursion,,,,Hermes,prior to v0.12.0,error handler
CVE-2022-27819,unsafe parsing,memory exhaustion|information leak,,,,SWHKD,1.1.5,-c option
CVE-2022-28201,infinite recursion,,,,users with editinterface permission,MediaWiki,"before 1.35.6, 1.36.x before 1.36.4, 1.37.x before 1.37.2",
CVE-2022-2832,null pointer dereference,loss of confidentiality|loss of integrity,,,,Blender,3.3.0,source/blender/gpu/opengl/gl_backend.cc
CVE-2022-28488,use of uninitialized variable,,,,,libwav,through 2017-04-20,wav_format_write in libwav.c
CVE-2022-28773,uncontrolled recursion,,denial of service,,,SAP Web Dispatcher|SAP Internet Communication Manager,,
CVE-2022-28965,,DLL hijacking,execute arbitrary code|denial of service,crafted DLL file,attackers,Avast Premium Security,before v21.11.2500,instup.exe|wsc_proxy.exe
CVE-2022-29158,,regular expression denial of service,,,unauthenticated users,Apache OFBiz,up to 18.12.05,
CVE-2022-29167,,regular expression denial of service,denial of service,Host HTTP header,,Hawk,patched in 9.0.1,Hawk.utils.parseHost()
CVE-2022-29169,,regular expression denial of service,denial of service,specific RegularExpression,attacker,BigBlueButton,"2.2 to 2.3.19, 2.4.7, and 2.5.0-beta.2",bbb-html5 service
CVE-2022-29204,insufficient input validation,,denial of service,,,TensorFlow,"prior to 2.9.0, 2.8.1, 2.7.2, and 2.6.4",tf.raw_ops.UnsortedSegmentJoin
CVE-2022-2943,insufficient file path validation,,arbitrary file reading,,authenticated attackers with administrative privileges,WordPress Infinite Scroll – Ajax Load More plugin,up to 5.5.3,alm_repeaters_export() function
CVE-2022-2945,,directory traversal,read contents of arbitrary files,type parameter,authenticated attackers with administrative permissions,WordPress Infinite Scroll – Ajax Load More plugin,up to 5.5.3,alm_get_layout() function
CVE-2022-29580,,path traversal,code execution,symbolic encoded string,attacker,Android Google Search app,before 13.41,uri.getLastPathSegment
CVE-2022-29695,,memory leaks,,,,Unicorn Engine,v2.0.0-rc7,
CVE-2022-31026,uninitialized variable,,read and return uninitialized data,specially crafted authentication packet,malicious server,Trilogy,before 2.1.1,
CVE-2022-31129,inefficient parsing algorithm,,denial of service,user-provided strings,,moment,patched in 2.29.4,
CVE-2022-31147,,regular expression denial of service,,,attacker,jQuery Validation Plugin,prior to 1.19.5,url2 method
CVE-2022-31173,,uncontrolled recursion,program crash,,,Juniper,before 0.15.10,
CVE-2022-31628,,infinite loop,,,,PHP,"before 7.4.31, 8.0.24 and 8.1.11",phar uncompressor code
CVE-2022-31781,,regular expression denial of service,,,,Apache Tapestry,up to 5.8.1,org.apache.tapestry5.http.ContentType class
CVE-2022-3212,lack of request body size limit,,out of memory|crash,very large or infinite body,malicious peer,,Bytes::from_request,
CVE-2022-34043,incorrect permissions,,execute arbitrary code,DLL hijacking attack,attackers,Nomachine,v7.9.2,C:ProgramDataNoMachinevaruninstall
CVE-2022-3433,hash collision,,denial of service,specially crafted JSON data,remote user,aeson,,
CVE-2022-34390,use of uninitialized variable,,arbitrary code execution,SMI,local authenticated malicious user,Dell BIOS,,SMRAM
CVE-2022-34402,,regular expression denial of service,denial of service,,admin privilege attacker,Dell Wyse ThinOS,2205,UI
CVE-2022-34428,,regular expression denial of service,temporary denial of service,,adversary with WMS group admin access,Dell Hybrid Client,prior to 1.8,UI
CVE-2022-34749,catastrophic backtracking,,,,,mistune,through 2.0.2,
CVE-2022-3488,assertion failure,,,,,BIND 9,9.11.4-S1 through 9.11.37-S1 and 9.16.8-S1 through 9.16.36-S1,
CVE-2022-35110,,memory leak,,,,SWFTools,commit 772e55a2,/lib/mem.c
CVE-2022-3517,,regular expression denial of service,denial of service,,,minimatch,,braceExpand function
CVE-2022-35923,inefficient regular expression complexity,,denial of service,,,v8n,prior to 1.5.1,lowercase() and uppercase() regex
CVE-2022-36004,insufficient input validation,,denial of service,,,TensorFlow,before 2.10.0,tf.random.gamma
CVE-2022-36034,,regular expression denial of service,,,,nitrado.js,before 0.2.5,
CVE-2022-36083,insufficient input validation,,consume unreasonable amount of CPU time,extremely high PBES2 Count value,adversary,JOSE,"before v1.28.2, v2.0.6, v3.20.4, and v4.9.2",PBKDF2-based JWE key management algorithms
CVE-2022-36152,,memory leak,,,,tifig,v0.2.2,/asan/asan_new_delete.cpp
CVE-2022-37259,,regular expression denial of service,,,,stealjs steal,2.2.4,babel.js
CVE-2022-37260,,regular expression denial of service,,,,stealjs steal,2.2.4,main.js
CVE-2022-37262,,regular expression denial of service,,,,stealjs steal,2.2.4,main.js
CVE-2022-37315,infinite recursion,,,,,graphql-go,through 0.8.0,type definition parser
CVE-2022-37599,,regular expression denial of service,,,,webpack loader-utils,2.0.0,interpolateName.js
CVE-2022-37603,,regular expression denial of service,,,,webpack loader-utils,2.0.0,interpolateName.js
CVE-2022-37620,,regular expression denial of service,,,,kangax html-minifier,4.0.0,htmlminifier.js
CVE-2022-38177,,memory leak,crash,malformed ECDSA signature,attacker,,,
CVE-2022-38178,,memory leak,crash,malformed EdDSA signature,attacker,,,
CVE-2022-38668,uninitialized data disclosure,,reveal sensitive data,request for static file smaller than 16 KB,,Crow,through 1.0+4,HTTP applications
CVE-2022-39280,,regular expression denial of service,,,,dparse,before 0.5.2,
CVE-2022-39284,improper cookie security settings,,expose cookie values to scripts,,,CodeIgniter,prior to 4.2.7,ConfigCookie
CVE-2022-40023,,regular expression denial of service,,,,Sqlalchemy mako,before 1.2.2,Lexer class
CVE-2022-40897,,regular expression denial of service,,HTML in crafted package or custom PackageIndex page,remote attackers,Python Packaging Authority setuptools,before 65.5.1,package_index.py
CVE-2022-41288,,stack exhaustion,crash|denial of service,,attacker,JT2Go|Teamcenter Visualization,"All versions < V14.1.0.6|V13.2 < V13.2.0.12, V13.3 < V13.3.0.8, V14.0 < V14.0.0.4, V14.1 < V14.1.0.6",CGM_NIST_Loader.dll
CVE-2022-41881,,infinite recursion,StackOverflowError,malformed crafted message,,Netty,,prior to 4.1.86.Final
CVE-2022-42124,,regular expression denial of service,consume excessive server resources,crafted payload,remote attackers,Liferay Portal|Liferay DXP,"7.3.2 through 7.4.3.4|7.2 fix pack 9 through fix pack 18, 7.3 before update 4, and 7.4 GA",LayoutPageTemplateEntryUpgradeProcess
CVE-2022-42964,,regular expression denial of service,,,attacker,pymatgen,,GaussianInput.from_string method
CVE-2022-42965,,regular expression denial of service,,,attacker,snowflake-connector-python,,get_file_transfer_type method
CVE-2022-42966,,regular expression denial of service,,,attacker,cleo,,Table.set_rows method
CVE-2022-47012,use of uninitialized variable,,,,,GNS3 dynamips,0.2.21,gen_eth_recv function
CVE-2022-47359,missing permission check,,local denial of service,,,,,log service
CVE-2022-47360,missing permission check,,local denial of service,,,,,log service
CVE-2022-48363,mishandling of Drain call,,assertion failure,truncated files,,MPD,before 0.23.8,PipeWire output plugin
CVE-2022-1098,DLL hijacking|incorrect default permissions,,privilege escalation,,attacker,Delta Electronics DIAEnergie,prior to 1.8.02.004,
CVE-2022-23050,DLL hijacking,,,,authenticated admin user,ManageEngine AppManager15,Build No:15510,Upload Files / Binaries functionality
CVE-2022-23471,improper goroutine handling,memory leak,denial of service,faulty command,,containerd,before 1.6.12 and 1.5.16,CRI stream server
CVE-2022-23572,improper type specialization,,assertion failure|crash,,,Tensorflow,before 2.8.0,
CVE-2022-23583,insufficient input validation,,denial of service,altering SavedModel,malicious user,Tensorflow,before 2.8.0,
CVE-2022-22960,improper permissions,,privilege escalation,,malicious actor with local access,VMware Workspace ONE Access|Identity Manager|vRealize Automation,,support scripts
CVE-2022-26138,hardcoded credentials,,unauthorized access,,remote unauthenticated attacker,Atlassian Questions For Confluence,2.7.34|2.7.35|3.0.2,
CVE-2022-30750,improper access control,,access wifi ap client mac address,,attacker,SemWifiApClient,prior to SMR Jul-2022 Release 1,updateLastConnectedClientInfo function
CVE-2022-30751,improper access control,,access wifi ap client mac address,,attacker,SemWifiApClient,prior to SMR Jul-2022 Release 1,sendDHCPACKBroadcast function
CVE-2022-30752,improper access control,,access wifi ap client mac address,,attacker,SemWifiApClient,prior to SMR Jul-2022 Release 1,sendDHCPACKBroadcast function
CVE-2022-40684,authentication bypass,,perform operations on administrative interface,specially crafted HTTP or HTTPS requests,unauthenticated attacker,Fortinet FortiOS|FortiProxy|FortiSwitchManager,7.2.0 through 7.2.1 and 7.0.0 through 7.0.6|7.2.0 and 7.0.0 through 7.0.6|7.2.0 and 7.0.0,
CVE-2021-40341,inadequate encryption strength,,decrypt sensitive information,,,Hitachi Energy FOXMAN-UN|UNEM,multiple versions,
CVE-2021-40342,use of default key,,obtain sensitive information|gain access to network elements,,,Hitachi Energy FOXMAN-UN|UNEM,multiple versions,
CVE-2021-41028,use of hard-coded cryptographic key|improper certificate validation,,man-in-the-middle attack,,unauthenticated network adjacent attacker,FortiClientEMS|FortiClientWindows|FortiClientLinux|FortiClientMac,7.0.1 and below|6.4.6 and below,telemetry protocol
CVE-2022-30757,improper authorization,,obtain CID without permission,,attacker,isemtelephony,prior to SMR Jul-2022 Release 1,
CVE-2022-3723,type confusion,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 107.0.5304.87,V8
CVE-2022-4262,type confusion,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 108.0.5359.94,V8
CVE-2022-37042,,authentication bypass|directory traversal,upload arbitrary files|remote code execution,,,Zimbra Collaboration Suite,8.8.15 and 9.0,mboximport functionality
CVE-2022-42475,,heap-based buffer overflow,execute arbitrary code or commands,specifically crafted requests,remote unauthenticated attacker,FortiOS SSL-VPN|FortiProxy SSL-VPN,multiple versions,
CVE-2022-26134,,OGNL injection,execute arbitrary code,,unauthenticated attacker,Confluence Server and Data Center,multiple versions,
CVE-2022-27924,improper input sanitization,,inject arbitrary memcache commands,,unauthenticated attacker,Zimbra Collaboration,8.8.15 and 9.0,
CVE-2022-22947,improper input validation,,code injection|remote code execution,maliciously crafted request,remote attacker,Spring Cloud Gateway,prior to 3.1.1+ and 3.0.7+,Gateway Actuator endpoint
CVE-2022-22963,improper input validation,,remote code execution,specially crafted SpEL,,Spring Cloud Function,3.1.6|3.2.2 and older,routing functionality
CVE-2022-41223,insufficient restrictions,,code injection,crafted data,authenticated attacker,MiVoice Connect,through 19.3 (22.22.6100.0),Director database component
CVE-2022-33891,improper access control,,arbitrary shell command execution,,,Apache Spark,multiple versions,UI
CVE-2022-36804,improper input validation,,execute arbitrary code,malicious HTTP request,remote attackers with read permissions,Atlassian Bitbucket Server and Data Center,multiple versions,multiple API endpoints
CVE-2022-40765,insufficient restriction of URL parameters,,command injection,,authenticated attacker with internal network access,Mitel MiVoice Connect,through 19.3 (22.22.6100.0),Edge Gateway component
CVE-2021-35247,insufficient input sanitization,,,,,Serv-U,,web login screen
CVE-2022-24086,improper input validation,,arbitrary code execution,,,Adobe Commerce,2.4.3-p1 and earlier|2.3.7-p2 and earlier,checkout process
CVE-2022-29499,incorrect data validation,,remote code execution,,,Mitel MiVoice Connect,through 19.2 SP3,Service Appliance component
CVE-2022-3075,insufficient data validation,,sandbox escape,crafted HTML page,remote attacker who had compromised the renderer process,Google Chrome,prior to 105.0.5195.102,Mojo
CVE-2021-31562,SSL/TLS misconfiguration,,compromise SSL/TLS sessions,,,Fresenius Kabi Agilia Link +,3,
CVE-2022-26143,improper input validation,,obtain sensitive information|denial of service,,,Mitel MiCollab|MiVoice Business Express,before 9.4 SP1 FP1|through 8.1,TP-240 component
CVE-2022-26501,incorrect access control,,,,,Veeam Backup & Replication,10.x and 11.x,
CVE-2022-21882,,,,,,Windows,,Win32k
CVE-2022-21919,,,,,,Windows,,User Profile Service
CVE-2022-22047,,,,,,Windows,,Client Server Run-time Subsystem (CSRSS)
CVE-2022-41040,,,,,,Microsoft Exchange Server,,
CVE-2022-30755,improper authentication,,bypass password confirm,hijacking implicit intent,attacker,AppLock,prior to SMR Jul-2022 Release 1,
CVE-2022-23134,improper access control,,change configuration,,unauthenticated users,Zabbix Frontend,,setup.php
CVE-2021-3560,insufficient credential checks,,create new local administrator,,unprivileged local attacker,polkit,,
CVE-2021-45046,incomplete fix,,information leak | remote code execution|local code execution,malicious input data,attackers with control over Thread Context Map input data,Apache Log4j,2.15.0,
CVE-2021-0920,race condition,,use after free|local privilege escalation,,,Android kernel,,unix_scm_to_skb of af_unix.c
CVE-2021-1048,use after free,,memory corruption|local privilege escalation,,,Android kernel,,ep_loop_check_proc of eventpoll.c
CVE-2021-1497,,command injection,,,unauthenticated remote attacker,Cisco HyperFlex HX,,web-based management interface
CVE-2021-1498,,command injection,,,unauthenticated remote attacker,Cisco HyperFlex HX,,web-based management interface
CVE-2021-1647,,,,,,Microsoft Defender,,
CVE-2021-1732,,,,,,Windows,,Win32k
CVE-2021-1782,race condition,,elevate privileges,,malicious application,macOS|watchOS|tvOS|iOS|iPadOS,"Big Sur 11.2, Catalina, Mojave, 7.3, 14.4, 14.4, 14.4",
CVE-2021-1789,type confusion,,arbitrary code execution,maliciously crafted web content,,macOS|tvOS|watchOS|iOS|iPadOS|Safari,"Big Sur 11.2, Catalina, Mojave, 14.4, 7.3, 14.4, 14.4, 14.0.3",
CVE-2021-1879,improper object lifetime management,,universal cross site scripting,maliciously crafted web content,,iOS|iPadOS|watchOS,"12.5.2, 14.4.2, 14.4.2, 7.3.3",
CVE-2021-1905,use after free,,,,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Voice & Music|Snapdragon Wearables,,
CVE-2021-1906,improper address handling,,GPU address allocation failure,,,Snapdragon Auto|Snapdragon Compute|Snapdragon Connectivity|Snapdragon Consumer IOT|Snapdragon Industrial IOT|Snapdragon Mobile|Snapdragon Voice & Music|Snapdragon Wearables,,
CVE-2021-20016,,SQL injection,access username password and session information,,remote unauthenticated attacker,SonicWall SSLVPN SMA100,10.x,
CVE-2021-20021,improper access control,,create administrative account,crafted HTTP request,attacker,SonicWall Email Security,10.0.9.x,
CVE-2021-20022,improper access control,,upload arbitrary file,,post-authenticated attacker,SonicWall Email Security,10.0.9.x,
CVE-2021-20023,improper access control,,read arbitrary file,,post-authenticated attacker,SonicWall Email Security,10.0.9.x,
CVE-2021-20028,,SQL injection,,,,SonicWall Secure Remote Access (SRA),"8.x firmware, 9.0.0.9-26sv or earlier",
CVE-2021-20090,path traversal,,bypass authentication,,unauthenticated remote attackers,Buffalo WSR-2533DHPL2|WSR-2533DHP3,"<= 1.02, <= 1.24",web interfaces
CVE-2021-21017,,heap-based buffer overflow,arbitrary code execution,malicious file,unauthenticated attacker,Acrobat Reader DC,"2020.013.20074 and earlier, 2020.001.30018 and earlier, 2017.011.30188 and earlier",
CVE-2021-21148,,heap buffer overflow,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 88.0.4324.150,V8
CVE-2021-21166,data race,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 89.0.4389.72,audio
CVE-2021-21193,use after free,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 89.0.4389.90,Blink
CVE-2021-21206,use after free,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 89.0.4389.128,Blink
CVE-2021-21220,insufficient validation of untrusted input,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 89.0.4389.128,V8
CVE-2021-21224,type confusion,,execute arbitrary code,crafted HTML page,remote attacker,Google Chrome,prior to 90.0.4430.85,V8
CVE-2021-21315,,command injection,,,,systeminformation,before 5.3.1,
CVE-2021-21551,insufficient access control,,privilege escalation|denial of service|information disclosure,,local authenticated user,Dell,,dbutil_2_3.sys driver
CVE-2021-21972,improper access control,,remote code execution,,malicious actor with network access to port 443,VMware vCenter Server|VMware Cloud Foundation,"7.x before 7.0 U1c, 6.7 before 6.7 U3l, 6.5 before 6.5 U3n|4.x before 4.2, 3.x before 3.10.1.2",vSphere Client (HTML5)
CVE-2021-21973,,server side request forgery,information disclosure,POST request,malicious actor with network access to port 443,VMware vCenter Server|VMware Cloud Foundation,"7.x before 7.0 U1c, 6.7 before 6.7 U3l, 6.5 before 6.5 U3n|4.x before 4.2, 3.x before 3.10.1.2",vSphere Client (HTML5)
CVE-2021-21975,,server side request forgery,steal administrative credentials,,malicious actor with network access to the API,vRealize Operations Manager,prior to 8.4,API
CVE-2021-22005,,arbitrary file upload,execute code,specially crafted file,malicious actor with network access to port 443,vCenter Server,,Analytics service
CVE-2021-22205,improper file validation,,remote command execution,,,GitLab CE/EE,11.9 and later,
CVE-2021-22502,unspecified,,remote code execution,,,Micro Focus Operation Bridge Reporter,10.4,
CVE-2021-22600,double free,,privilege escalation|deny service,crafted syscalls,local user,Linux kernel,,net/packet/af_packet.c
CVE-2021-22894,,buffer overflow,execute arbitrary code as root,maliciously crafted meeting room,remote authenticated attacker,Pulse Connect Secure,before 9.1R11.4,
CVE-2021-22899,,command injection,remote code execution,,remote authenticated attacker,Pulse Connect Secure,before 9.1R11.4,Windows Resource Profiles Feature
CVE-2021-22941,improper access control,,remotely compromise the storage zones controller,,unauthenticated attacker,Citrix ShareFile storage zones controller,before 5.11.20,
CVE-2021-22986,improper authentication,,remote command execution,,,BIG-IP|BIG-IQ,multiple versions,iControl REST interface
CVE-2021-22991,,buffer overflow,denial of service|bypass URL based access control|remote code execution,undisclosed requests,,BIG-IP,multiple versions,Traffic Management Microkernel (TMM) URI normalization
CVE-2021-25296,,OS command injection,,,authenticated user,Nagios XI,xi-5.7.5,/usr/local/nagiosxi/html/includes/configwizards/windowswmi/windowswmi.inc.php
CVE-2021-25297,,OS command injection,,,authenticated user,Nagios XI,xi-5.7.5,/usr/local/nagiosxi/html/includes/configwizards/switch/switch.inc.php
CVE-2021-25298,,OS command injection,,,authenticated user,Nagios XI,xi-5.7.5,/usr/local/nagiosxi/html/includes/configwizards/cloud-vm/cloud-vm.inc.php
CVE-2021-25337,improper access control,,read or write certain local files,,untrusted applications,Samsung mobile devices,prior to SMR Mar-2021 Release 1,clipboard service
CVE-2021-25369,improper access control,,expose sensitive kernel information,,,Samsung mobile devices,prior to SMR MAR-2021 Release 1,sec_log file
CVE-2021-25370,incorrect implementation,,memory corruption|kernel panic,,,Samsung mobile devices,prior to SMR Mar-2021 Release 1,dpu driver
CVE-2021-26084,,OGNL injection,execute arbitrary code,,unauthenticated attacker,Confluence Server and Data Center,multiple versions,
CVE-2021-26411,,,,,,Internet Explorer,,
CVE-2021-26855,,,,,,Microsoft Exchange Server,,
CVE-2021-26857,,,,,,Microsoft Exchange Server,,
CVE-2021-27101,,SQL injection,,crafted Host header,,Accellion FTA,9_12_370 and earlier,document_root.html
CVE-2021-27102,,,OS command execution,local web service call,,Accellion FTA,9_12_411 and earlier,
CVE-2021-27103,,server side request forgery,,crafted POST request,,Accellion FTA,9_12_411 and earlier,wmProgressstat.html
CVE-2021-27104,,,OS command execution,crafted POST request,,Accellion FTA,9_12_370 and earlier,various admin endpoints
CVE-2021-27561,,command injection,execute as root,,,Yealink Device Management,3.6.0.20,/sm/api/v1/firewall/zone/services URI
CVE-2021-27852,,deserialization of untrusted data,execute arbitrary code,,unauthenticated remote attacker,Checkbox Survey,prior to 7,CheckboxWeb.dll
CVE-2021-28310,,,,,,Windows,,Win32k
CVE-2021-28550,use after free,,arbitrary code execution,malicious file,unauthenticated attacker,Acrobat Reader DC,"2021.001.20150 and earlier, 2020.001.30020 and earlier, 2017.011.30194 and earlier",
CVE-2021-28663,use-after-free,,privilege escalation|information disclosure,,,Arm Mali GPU kernel driver,"Bifrost r0p0 through r28p0, Valhall r19p0 through r28p0, Midgard r4p0 through r30p0",
CVE-2021-28799,improper authorization,,log in to device,,remote attackers,QNAP NAS,multiple versions,HBS 3 (Hybrid Backup Sync)
CVE-2021-30116,improper authentication,,bypass authentication,,,Kaseya VSA,before 9.5.7,
CVE-2021-30533,insufficient policy enforcement,,bypass navigation restrictions,crafted iframe,remote attacker,Google Chrome,prior to 91.0.4472.77,PopupBlocker
CVE-2021-30551,type confusion,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 91.0.4472.101,V8
CVE-2021-30554,use after free,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 91.0.4472.114,WebGL
CVE-2021-30563,type confusion,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 91.0.4472.164,V8
CVE-2021-30632,,out of bounds write,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 93.0.4577.82,V8
CVE-2021-30633,use after free,,sandbox escape,crafted HTML page,remote attacker who had compromised the renderer process,Google Chrome,prior to 93.0.4577.82,Indexed DB API
CVE-2021-30661,use after free,,arbitrary code execution,maliciously crafted web content,,Safari|iOS|iPadOS|watchOS|tvOS|macOS,"14.1, 12.5.3, 14.5, 14.5, 7.4, 14.5, Big Sur 11.3",
CVE-2021-30663,,integer overflow,arbitrary code execution,maliciously crafted web content,,iOS|iPadOS|tvOS|Safari|macOS,"14.5.1, 14.5.1, 14.6, 12.5.3, 14.1.1, Big Sur 11.3.1",
CVE-2021-30665,,memory corruption,arbitrary code execution,maliciously crafted web content,,watchOS|iOS|iPadOS|tvOS|macOS,"7.4.1, 14.5.1, 14.5.1, 14.6, 12.5.3, Big Sur 11.3.1",
CVE-2021-30666,,buffer overflow,arbitrary code execution,maliciously crafted web content,,iOS,12.5.3,
CVE-2021-30761,,memory corruption,arbitrary code execution,maliciously crafted web content,,iOS,12.5.4,
CVE-2021-30762,use after free,,arbitrary code execution,maliciously crafted web content,,iOS,12.5.4,
CVE-2021-30807,,memory corruption,execute arbitrary code with kernel privileges,,,macOS|iOS|iPadOS|watchOS,"Big Sur 11.5.1, 14.7.1, 14.7.1, 7.6.1",
CVE-2021-30858,use after free,,arbitrary code execution,maliciously crafted web content,,iOS|iPadOS|macOS,"14.8, 14.8, Big Sur 11.6",
CVE-2021-30860,,integer overflow,arbitrary code execution,maliciously crafted PDF,,macOS|iOS|iPadOS|watchOS,"Catalina, 14.8, 14.8, Big Sur 11.6, 7.6.2",
CVE-2021-30869,type confusion,,execute arbitrary code with kernel privileges,,malicious application,iOS|macOS,"12.5.5, 14.4, Big Sur 11.2, Catalina, Mojave, Catalina",
CVE-2021-30883,,memory corruption,execute arbitrary code with kernel privileges,,,iOS|iPadOS|macOS|tvOS|watchOS,"15.0.2, 15.0.2, Monterey 12.0.1, 14.8.1, 14.8.1, 15.1, 8.1, Big Sur 11.6.1",
CVE-2021-30900,,out-of-bounds write,execute arbitrary code with kernel privileges,,malicious application,iOS|iPadOS,"14.8.1, 14.8.1, 15.1, 15.1",
CVE-2021-30983,,buffer overflow,execute arbitrary code with kernel privileges,,,iOS|iPadOS,"15.2, 15.2",
CVE-2021-31010,,deserialization,circumvent sandbox restrictions,,sandboxed process,macOS|iOS|iPadOS|watchOS,"Catalina, 12.5.5, 14.8, 14.8, Big Sur 11.6, 7.6.2",
CVE-2021-31166,,,,,,Windows,,HTTP Protocol Stack
CVE-2021-31207,,,,,,Microsoft Exchange Server,,
CVE-2021-3156,off-by-one error,,privilege escalation to root,command-line argument ending with backslash,,Sudo,before 1.9.5p2,
CVE-2021-31755,,stack buffer overflow,execute arbitrary code,crafted post request,attackers,Tenda AC11,through 02.03.01.104_CN,/goform/setmac
CVE-2021-31979,,,,,,Windows,,Kernel
CVE-2021-33766,,,,,,Microsoft Exchange Server,,
CVE-2021-33771,,,,,,Windows,,Kernel
CVE-2021-34448,,,,,,Windows,,Scripting Engine
CVE-2021-34473,,,,,,Microsoft Exchange Server,,
CVE-2021-34486,,,,,,Windows,,Event Tracing
CVE-2021-35394,,multiple memory corruption vulnerabilities|command injection vulnerability,execute arbitrary code,,remote unauthenticated attackers,Realtek Jungle SDK,v2.x up to v3.4.14B,MP Daemon
CVE-2021-35395,unsafe copy of parameter,multiple stack buffer overflows,arbitrary command execution|command injection|execute arbitrary code,,remote attackers,Realtek Jungle SDK,v2.x up to v3.4.14B,HTTP web server management interface
CVE-2021-35464,,Java deserialization,remote code execution,crafted /ccversion/* request,,ForgeRock AM server,before 7.0,jato.pageSession parameter
CVE-2021-36260,,command injection,,,attacker,Hikvision,,web server
CVE-2021-36741,improper input validation,,upload arbitrary files,,remote attacker,Trend Micro Apex One|Apex One as a Service|OfficeScan XG|Worry-Free Business Security,10.0 SP1,
CVE-2021-36742,improper input validation,,escalate privileges,,local attacker,Trend Micro Apex One|Apex One as a Service|OfficeScan XG|Worry-Free Business Security,10.0 SP1,
CVE-2021-36942,,,,,,Windows,,LSA
CVE-2021-37415,,,authentication bypass,,,Zoho ManageEngine ServiceDesk Plus,before 11302,REST-API URLs
CVE-2021-37973,use after free,,sandbox escape,crafted HTML page,remote attacker who had compromised the renderer process,Google Chrome,prior to 94.0.4606.61,Portals
CVE-2021-37975,use after free,,heap corruption,crafted HTML page,remote attacker,Google Chrome,prior to 94.0.4606.71,V8
CVE-2021-38163,improper file upload validation,,execute operating system commands,,authenticated non-administrative user,SAP NetWeaver,7.30|7.31|7.40|7.50,Visual Composer 7.0 RT
CVE-2021-38406,improper validation of user-supplied data,,execute code,,attacker,Delta Electronic DOPSoft 2,Version 2.00.07 and prior,
CVE-2021-38647,,,,,,Open Management Infrastructure,,
CVE-2021-38648,,,,,,Open Management Infrastructure,,
CVE-2021-39144,improper input validation,,execute commands,,remote attacker,XStream,before 1.4.18,
