CVE,Description,Chains,Weakness_Description,ROOTCAUSE,WEAKNESS,IMPACT,VECTOR,ATTACKER,PRODUCT,VERSION,COMPONENT,missing,extra
CVE-2022-20341,"In ConnectivityService, there is a possible bypass of network permissions due to a missing permission check. This could lead to local information disclosure of tethering interfaces with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-13Android ID: A-162952629",,due to a missing permission check,missing permission check,,bypass of network permissions,,,Android,13,ConnectivityService,,"bypass, permissions, of, network, nan"
CVE-2022-20348,"In updateState of LocationServicesWifiScanningPreferenceController.java, there is a possible admin restriction bypass due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-12LAndroid ID: A-228315529",,due to a missing permission check,missing permission check,,admin restriction bypass,,,Android,"10, 11, 12, 12L",updateState of LocationServicesWifiScanningPreferenceController.java,,"nan, bypass, restriction, admin"
CVE-2022-20349,"In WifiScanningPreferenceController and BluetoothScanningPreferenceController, there is a possible admin restriction bypass due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-12LAndroid ID: A-228315522",,due to a missing permission check,missing permission check,,admin restriction bypass,,,Android,"10, 11, 12, 12L",WifiScanningPreferenceController and BluetoothScanningPreferenceController,,"nan, bypass, restriction, admin"
CVE-2022-20352,"In addProviderRequestListener of LocationManagerService.java, there is a possible way to learn which packages request location information due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-12 Android-12LAndroid ID: A-222473855",,due to a missing permission check,missing permission check,,learn which packages request location information,,,Android,"12, 12L",addProviderRequestListener of LocationManagerService.java,,"location, packages, information, request, nan, which, learn"
CVE-2022-20358,"In startSync of AbstractThreadedSyncAdapter.java, there is a possible way to access protected content of content providers due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-12LAndroid ID: A-203229608",,due to a missing permission check,missing permission check,,access protected content of content providers,,,Android,"10, 11, 12, 12L",startSync of AbstractThreadedSyncAdapter.java,,"of, providers, nan, access, content, protected"
CVE-2022-20360,"In setChecked of SecureNfcPreferenceController.java, there is a missing permission check. This could lead to local escalation of privilege from the guest user with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-12LAndroid ID: A-228314987",,missing permission check,missing permission check,,escalation of privilege from guest user,,,Android,"10, 11, 12, 12L",setChecked of SecureNfcPreferenceController.java,,"from, of, nan, escalation, user, guest, privilege"
CVE-2022-20394,"In getInputMethodWindowVisibleHeight of InputMethodManagerService.java, there is a possible way to determine when another app is showing an IME due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-12 Android-12LAndroid ID: A-204906124",,due to a missing permission check,missing permission check,,determine when another app is showing IME,,,Android,"10, 11, 12, 12L",getInputMethodWindowVisibleHeight of InputMethodManagerService.java,,"determine, ime, nan, app, when, is, showing, another"
CVE-2022-20511,"In getNearbyAppStreamingPolicy of DevicePolicyManagerService.java, there is a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-13Android ID: A-235821829",,missing permission check,missing permission check,,information disclosure,,,Android,13,getNearbyAppStreamingPolicy of DevicePolicyManagerService.java,,"nan, information, disclosure"
CVE-2022-20547,"In multiple functions of AdapterService.java, there is a possible way to manipulate Bluetooth state due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-13Android ID: A-240301753",,missing permission check,missing permission check,,manipulate Bluetooth state,,,Android,13,multiple functions of AdapterService.java,,"nan, manipulate, state, bluetooth"
CVE-2022-20572,"In verity_target of dm-verity-target.c, there is a possible way to modify read-only files due to a missing permission check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android kernelAndroid ID: A-234475629References: Upstream kernel",,missing permission check,missing permission check,,modify read-only files,,,Android kernel,,verity_target of dm-verity-target.c,,"read, files, nan, only, modify"
CVE-2022-20716,"A vulnerability in the CLI of Cisco SD-WAN Software could allow an authenticated, local attacker to gain escalated privileges. This vulnerability is due to improper access control on files within the affected system. A local attacker could exploit this vulnerability by modifying certain files on the vulnerable device. If successful, the attacker could gain escalated privileges and take actions on the system with the privileges of the root user.",,improper access control on files within the affected system,improper access control,,gain escalated privileges,modifying certain files,authenticated local attacker,Cisco SD-WAN Software,,CLI,,"nan, escalated, privileges, gain"
CVE-2022-20918,"A vulnerability in the Simple Network Management Protocol (SNMP) access controls for Cisco FirePOWER Software for Adaptive Security Appliance (ASA) FirePOWER module, Cisco Firepower Management Center (FMC) Software, and Cisco Next-Generation Intrusion Prevention System (NGIPS) Software could allow an unauthenticated, remote attacker to perform an SNMP GET request using a default credential. This vulnerability is due to the presence of a default credential for SNMP version 1 (SNMPv1) and SNMP version 2 (SNMPv2). An attacker could exploit this vulnerability by sending an SNMPv1 or SNMPv2 GET request to an affected device. A successful exploit could allow the attacker to retrieve sensitive information from the device using the default credential. This attack will only be successful if SNMP is configured, and the attacker can only perform SNMP GET requests; write access using SNMP is not allowed.",,using a default credential,presence of default credential,,retrieve sensitive information,SNMPv1 or SNMPv2 GET request,unauthenticated remote attacker,Cisco FirePOWER Software|Cisco Firepower Management Center Software|Cisco Next-Generation Intrusion Prevention System Software,,SNMP access controls,,"sensitive, of, information, retrieve, presence, nan"
CVE-2022-20921,"A vulnerability in the API implementation of Cisco ACI Multi-Site Orchestrator (MSO) could allow an authenticated, remote attacker to elevate privileges on an affected device. This vulnerability is due to improper authorization on specific APIs. An attacker could exploit this vulnerability by sending crafted HTTP requests. A successful exploit could allow an attacker who is authenticated with non-Administrator privileges to elevate to Administrator privileges on an affected device.",,due to improper authorization on specific APIs,improper authorization,,elevate privileges,crafted HTTP requests,authenticated remote attacker,Cisco ACI Multi-Site Orchestrator,,API implementation,,"nan, privileges, elevate"
CVE-2022-20956,"A vulnerability in the web-based management interface of Cisco Identity Services Engine (ISE) could allow an authenticated, remote attacker to bypass authorization and access system files. This vulnerability is due to improper access control in the web-based management interface of an affected device. An attacker could exploit this vulnerability by sending a crafted HTTP request to the affected device. A successful exploit could allow the attacker to list, download, and delete certain files that they should not have access to. Cisco plans to release software updates that address this vulnerability. https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-access-contol-EeufSUCx [""https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-ise-access-contol-EeufSUCx""] ",,This vulnerability is due to improper access control in the web-based management interface,improper access control,,bypass authorization|list files|download files|delete files,crafted HTTP request,authenticated remote attacker,Cisco Identity Services Engine,,web-based management interface,,"bypass, files, download, authorization, list, nan, delete"
CVE-2022-20965,"A vulnerability in the web-based management interface of Cisco Identity Services Engine could allow an authenticated, remote attacker to take privileges actions within the web-based management interface. This vulnerability is due to improper access control on a feature within the web-based management interface of the affected system. An attacker could exploit this vulnerability by accessing features through direct requests, bypassing checks within the application. A successful exploit could allow the attacker to take privileged actions within the web-based management interface that should be otherwise restricted. {{value}} [""%7b%7bvalue%7d%7d""])}]] ",,This vulnerability is due to improper access control,improper access control,,take privileged actions,direct requests,authenticated remote attacker,Cisco Identity Services Engine,,web-based management interface,,"nan, actions, privileged, take"
CVE-2022-21126,The package com.github.samtools:htsjdk before 3.0.1 are vulnerable to Creation of Temporary File in Directory with Insecure Permissions due to the createTempDir() function in util/IOUtil.java not checking for the existence of the temporary directory before attempting to create it.,,Creation of Temporary File in Directory with Insecure Permissions,Creation of Temporary File in Directory with Insecure Permissions,,,,,,com.github.samtools:htsjdk,createTempDir() in util/IOUtil.java,,nan
CVE-2022-21131,Improper access control for some Intel(R) Xeon(R) Processors may allow an authenticated user to potentially enable information disclosure via local access.,, Improper access control,improper access control,,information disclosure,,authenticated user,Intel Xeon Processors,,,,"nan, information, disclosure"
CVE-2022-21152,Improper access control in the Intel(R) Edge Insights for Industrial software before version 2.6.1 may allow an authenticated user to potentially enable information disclosure via local access.,, Improper access control,improper access control,,information disclosure,,authenticated user,Intel Edge Insights for Industrial,before 2.6.1,,,"nan, information, disclosure"
CVE-2022-21163,Improper access control in the Crypto API Toolkit for Intel(R) SGX before version 2.0 commit ID 91ee496 may allow an authenticated user to potentially enable escalation of privilege via local access.,,Improper access control,improper access control,,escalation of privilege,,authenticated user,Crypto API Toolkit for Intel SGX,before 2.0 commit ID 91ee496,,,"nan, of, escalation, privilege"
CVE-2022-21748,"In telephony, there is a possible information disclosure due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is needed for exploitation. Patch ID: ALPS06511030; Issue ID: ALPS06511030.",,missing permission check,missing permission check,,information disclosure,,,,Android,telephony,,"nan, information, disclosure"
CVE-2022-21749,"In telephony, there is a possible information disclosure due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS06511058; Issue ID: ALPS06511058.",,possible information disclosure due to a missing permission check,missing permission check,,information disclosure,,,,Android,telephony,,nan
CVE-2022-21935,A vulnerability in Metasys ADS/ADX/OAS 10 versions prior to 10.1.5 and Metasys ADS/ADX/OAS 11 versions prior to 11.0.2 allows unverified password change.,, A vulnerability ... allows unverified password change.,unverified password change,,,,,,Metasys ADS/ADX/OAS,10 versions prior to 10.1.5 and 11 versions prior to 11.0.2,,nan
CVE-2022-22127,"Tableau is aware of a broken access control vulnerability present in Tableau Server affecting Tableau Server customers using Local Identity Store for managing users. The vulnerability allows a malicious site administrator to change passwords for users in different sites hosted on the same Tableau Server, resulting in the potential for unauthorized access to data.Tableau Server versions affected are:2020.4.16, 2021.1.13, 2021.2.10, 2021.3.9, 2021.4.4 and earlierNote: All future releases of Tableau Server will address this security issue. Versions that are no longer supported are not tested and may be vulnerable.",,broken access control vulnerability,broken access control,,change passwords for users in different sites,,malicious site administrator,Tableau Server,"2020.4.16, 2021.1.13, 2021.2.10, 2021.3.9, 2021.4.4 and earlier",Local Identity Store,,"sites, for, different, in, nan, passwords, change, users"
CVE-2022-22144,"A hard-coded password vulnerability exists in the libcommonprod.so prod_change_root_passwd functionality of TCL LinkHub Mesh Wi-Fi MS1G_00_01.00_14. During system startup this functionality is always called, leading to a known root password. An attacker does not have to do anything to trigger this vulnerability.",,hard-coded password vulnerability exist,hard-coded password,,known root password,,,TCL LinkHub Mesh Wi-Fi,MS1G_00_01.00_14,libcommonprod.so prod_change_root_passwd functionality,,"nan, root, known"
CVE-2022-22289,Improper access control vulnerability in S Assistant prior to version 7.5 allows attacker to remotely get senstive information.,,Improper access control vulnerability,improper access control,,get sensitive information,,attacker,S Assistant,prior to 7.5,,,"information, get, sensitive, nan"
CVE-2022-22331,IBM SterlingPartner Engagement Manager 6.2.0 could allow a remote authenticated attacker to obtain sensitive information or modify user details caused by an insecure direct object vulnerability (IDOR). IBM X-Force ID: 219130.,,caused by an insecure direct object vulnerability,insecure direct object vulnerability,,obtain sensitive information|modify user details,,remote authenticated attacker,IBM SterlingPartner Engagement Manager,6.2.0,,,"sensitive, information, nan, details, user, modify, obtain"
CVE-2022-2242,The KUKA SystemSoftware V/KSS in versions prior to 8.6.5 is prone to improper access control as an unauthorized attacker can directly read and write robot configurations when access control is not available or not enabled (default).,,unauthorized attacker can directly read and write ... when access control is not available or not enabled (default),improper access control,,read and write robot configurations,,unauthorized attacker,KUKA SystemSoftware V/KSS,prior to 8.6.5,,,"nan, configurations, robot, improper"
CVE-2022-22442,"""IBM InfoSphere Information Server 11.7 could allow an authenticated user to access information restricted to users with elevated privileges due to improper access controls. IBM X-Force ID: 224427.""",,improper access controls,improper access controls,,access restricted information,,authenticated user,IBM InfoSphere Information Server,11.7,,,"nan, restricted, information"
CVE-2022-22565,"Dell PowerScale OneFS, versions 9.0.0-9.3.0, contain an improper authorization of index containing sensitive information. An authenticated and privileged user could potentially exploit this vulnerability, leading to disclosure or modification of sensitive data.",,improper authorization of index containing sensitive information,improper authorization,,disclose or modify sensitive data,,authenticated and privileged user,Dell PowerScale OneFS,9.0.0-9.3.0,,,"disclose, data, nan, modify, or"
CVE-2022-22736,"If Firefox was installed to a world-writable directory, a local privilege escalation could occur when Firefox searched the current directory for system libraries. However the install directory is not world-writable by default.<br>*This bug only affects Firefox for Windows in a non-default installation. Other operating systems are unaffected.*. This vulnerability affects Firefox < 96.",,searched the current directory for system libraries.,insecure permissions,,local privilege escalation,,,,Firefox for Windows,< 96,,"insecure, permissions, nan, escalation, local, privilege"
CVE-2022-22765,"BD Viper LT system, versions 2.0 and later, contains hardcoded credentials. If exploited, threat actors may be able to access, modify or delete sensitive information, including electronic protected health information (ePHI), protected health information (PHI) and personally identifiable information (PII). BD Viper LT system versions 4.0 and later utilize Microsoft Windows 10 and have additional Operating System hardening configurations which increase the attack complexity required to exploit this vulnerability.",,contains hardcoded credentials,hardcoded credentials,,access|modify|delete sensitive information,,threat actors,BD Viper LT system,2.0 and later,,,"sensitive, information, nan, access, modify, delete"
CVE-2022-22806,"A CWE-294: Authentication Bypass by Capture-replay vulnerability exists that could cause an unauthenticated connection to the UPS when a malformed connection is sent. Affected Product: SmartConnect Family: SMT Series (SMT Series ID=1015: UPS 04.5 and prior), SMC Series (SMC Series ID=1018: UPS 04.2 and prior), SMTL Series (SMTL Series ID=1026: UPS 02.9 and prior), SCL Series (SCL Series ID=1029: UPS 02.5 and prior / SCL Series ID=1030: UPS 02.5 and prior / SCL Series ID=1036: UPS 02.5 and prior / SCL Series ID=1037: UPS 03.1 and prior), SMX Series (SMX Series ID=1031: UPS 03.1 and prior)",,A CWE-294: Authentication Bypass by Capture-replay vulnerability exists that could cause an unauthenticated connection,CWE-294: Authentication Bypass by Capture-replay,,unauthenticated connection,malformed connection,,SmartConnect Family,"SMT Series UPS 04.5 and prior, SMC Series UPS 04.2 and prior, SMTL Series UPS 02.9 and prior, SCL Series UPS 02.5/03.1 and prior, SMX Series UPS 03.1 and prior",,,nan
CVE-2022-2310,"An authentication bypass vulnerability in Skyhigh SWG in main releases 10.x prior to 10.2.12, 9.x prior to 9.2.23, 8.x prior to 8.2.28, and controlled release 11.x prior to 11.2.1 allows a remote attacker to bypass authentication into the administration User Interface. This is possible because of SWG incorrectly whitelisting authentication bypass methods and using a weak crypto password. This can lead to the attacker logging into the SWG admin interface, without valid credentials, as the super user with complete control over the SWG.",,incorrectly whitelisting authentication bypass methods and using a weak crypto password,authentication bypass,,login to admin interface without credentials,crafted HTTP requests,remote attacker,Skyhigh SWG,"10.x prior to 10.2.12, 9.x prior to 9.2.23, 8.x prior to 8.2.28, 11.x prior to 11.2.1",administration User Interface,"methods, crypto, incorrectly, whitelisting, weak, password, and, a, using","interface, credentials, nan, to, login, admin, without"
CVE-2022-23144,"There is a broken access control vulnerability in ZTE ZXvSTB product. Due to improper permission control, attackers could use this vulnerability to delete the default application type, which affects normal use of system.",,improper permission control,improper permission control,,delete default application type,,attackers,ZTE ZXvSTB,,,,"nan, default, type, delete, application"
CVE-2022-23345,BigAnt Software BigAnt Server v5.6.06 was discovered to contain incorrect access control.,,account information ... can be accessed via the following URL by any non-authenticated user,incorrect access control,,,,,,BigAnt Server,v5.6.06,"accessed, can, following, via, by, information, user, be, account, any, url, authenticated, non, the","control, nan, access, incorrect"
CVE-2022-23440,"A use of hard-coded cryptographic key vulnerability [CWE-321] in the registration mechanism of FortiEDR collectors versions 5.0.2, 5.0.1, 5.0.0, 4.0.0 may allow a local attacker to disable and uninstall the collectors from the end-points within the same deployment.",,hard-coded cryptographic key vulnerability [CWE-321],hard-coded cryptographic key vulnerability [CWE-321],,disable and uninstall collectors,,local attacker,FortiEDR,"5.0.2, 5.0.1, 5.0.0, 4.0.0",registration mechanism,,"use, of, nan, uninstall, disable, and, collectors"
CVE-2022-23441,"A use of hard-coded cryptographic key vulnerability [CWE-321] in FortiEDR versions 5.0.2, 5.0.1, 5.0.0, 4.0.0 may allow an unauthenticated attacker on the network to disguise as and forge messages from other collectors.",,hard-coded cryptographic key vulnerability [CWE-321],hard-coded cryptographic key vulnerability [CWE-321],,disguise as and forge messages from other collectors,,unauthenticated attacker,FortiEDR,"5.0.2, 5.0.1, 5.0.0, 4.0.0",,,"from, use, other, of, disguise, forge, messages, nan, and, collectors, as"
CVE-2022-23442,"An improper access control vulnerability [CWE-284] in FortiOS versions 6.2.0 through 6.2.11, 6.4.0 through 6.4.8 and 7.0.0 through 7.0.5 may allow an authenticated attacker with a restricted user profile to gather the checksum information about the other VDOMs via CLI commands.",,improper access control vulnerability [CWE-284],improper access control vulnerability [CWE-284],,gather checksum information about other VDOMs,CLI commands,authenticated attacker with restricted user profile,FortiOS,"6.2.0 through 6.2.11, 6.4.0 through 6.4.8, 7.0.0 through 7.0.5",,,"about, gather, other, vdoms, information, nan, checksum"
CVE-2022-23506,"Spinnaker is an open source, multi-cloud continuous delivery platform for releasing software changes, and Spinnaker's Rosco microservice produces machine images. Rosco prior to versions 1.29.2, 1.28.4, and 1.27.3 does not property mask secrets generated via packer builds. This can lead to exposure of sensitive AWS credentials in packer log files. Versions 1.29.2, 1.28.4, and 1.27.3 of Rosco contain fixes for this issue. A workaround is available. It's recommended to use short lived credentials via role assumption and IAM profiles. Additionally, credentials can be set in `/home/spinnaker/.aws/credentials` and `/home/spinnaker/.aws/config` as a volume mount for Rosco pods vs. setting credentials in roscos bake config properties. Last even with those it's recommend to use IAM Roles vs. long lived credentials. This drastically mitigates the risk of credentials exposure. If users have used static credentials, it's recommended to purge any bake logs for AWS, evaluate whether AWS_ACCESS_KEY, SECRET_KEY and/or other sensitive data has been introduced in log files and bake job logs. Then, rotate these credentials and evaluate potential improper use of those credentials.",,,improper secret masking,,exposure of sensitive AWS credentials,,,Spinnaker Rosco,"prior to 1.29.2, 1.28.4, and 1.27.3",packer builds,,"sensitive, of, credentials, exposure, improper, secret, aws, masking"
CVE-2022-23650,"Netmaker is a platform for creating and managing virtual overlay networks using WireGuard. Prior to versions 0.8.5, 0.9.4, and 010.0, there is a hard-coded cryptographic key in the code base which can be exploited to run admin commands on a remote server if the exploiter know the address and username of the admin. This effects the server (netmaker) component, and not clients. This has been patched in Netmaker v0.8.5, v0.9.4, and v0.10.0. There are currently no known workarounds.",, there is a hard-coded cryptographic key,hard-coded cryptographic key,,run admin commands,,,Netmaker,"prior to 0.8.5, 0.9.4, and 010.0",server component,,"nan, commands, run, admin"
CVE-2022-23724,"Use of static encryption key material allows forging an authentication token to other users within a tenant organization. MFA may be bypassed by redirecting an authentication flow to a target user. To exploit the vulnerability, must have compromised user credentials.",,Use of static encryption key material allows forging an authentication token to other users,use of static encryption key,,forge authentication token|bypass MFA,,attacker with compromised user credentials,,,,,"nan, bypass, mfa, forge"
CVE-2022-2379,"The Easy Student Results WordPress plugin through 2.2.8 lacks authorisation in its REST API, allowing unauthenticated users to retrieve information related to the courses, exams, departments as well as student's grades and PII such as email address, physical address, phone number etc",,lacks authorisation in its REST API,lack of authorisation,,retrieve sensitive information,,unauthenticated users,Easy Student Results WordPress plugin,through 2.2.8,REST API,,"sensitive, lack, of, information, retrieve, nan"
CVE-2022-24083,Password authentication bypass vulnerability for local accounts can be used to bypass local authentication checks.,,,authentication bypass,,bypass local authentication checks,,,,,,,"bypass, authentication, local, checks"
CVE-2022-24860,Databasir is a team-oriented relational database model document management platform. Databasir 1.01 has Use of Hard-coded Cryptographic Key vulnerability. An attacker can use hard coding to generate login credentials of any user and log in to the service background located at different IP addresses.,,has Use of Hard-coded Cryptographic Key vulnerability,use of hard-coded cryptographic key,,generate login credentials of any user,,attacker,Databasir,1.01,,,"credentials, generate, nan, user, login, any"
CVE-2022-25090,"Printix Secure Cloud Print Management through 1.3.1106.0 creates a temporary temp.ini file in a directory with insecure permissions, leading to privilege escalation because of a race condition.",CWE-362->CWE-379,"creates a temporary temp.ini file in a directory with insecure permissions, leading to privilege escalation because of a race condition",insecure permissions,,privilege escalation,,,Printix Secure Cloud Print Management,through 1.3.1106.0,,"condition, because, temporary, directory, of, in, leading, temp, to, with, creates, race, ini, file, a",nan
CVE-2022-25159,"Authentication Bypass by Capture-replay vulnerability in Mitsubishi Electric MELSEC iQ-F series FX5U(C) CPU all versions, Mitsubishi Electric MELSEC iQ-F series FX5UJ CPU all versions, Mitsubishi Electric MELSEC iQ-R series R00/01/02CPU all versions, Mitsubishi Electric MELSEC iQ-R series R04/08/16/32/120(EN)CPU all versions, Mitsubishi Electric MELSEC iQ-R series R08/16/32/120SFCPU all versions, Mitsubishi Electric MELSEC iQ-R series R08/16/32/120PCPU all versions, Mitsubishi Electric MELSEC iQ-R series R08/16/32/120PSFCPU all versions, Mitsubishi Electric MELSEC iQ-R series R16/32/64MTCPU all versions, Mitsubishi Electric MELSEC iQ-R series RJ71C24(-R2/R4) all versions, Mitsubishi Electric MELSEC iQ-R series RJ71EN71 all versions, Mitsubishi Electric MELSEC iQ-R series RJ72GF15-T2 all versions, Mitsubishi Electric MELSEC Q series Q03/04/06/13/26UDVCPU all versions, Mitsubishi Electric MELSEC Q series Q04/06/13/26UDPVCPU all versions, Mitsubishi Electric MELSEC Q series QJ71C24N(-R2/R4) all versions and Mitsubishi Electric MELSEC Q series QJ71E71-100 all versions allows a remote unauthenticated attacker to login to the product by replay attack.",,Authentication Bypass by Capture-replay,authentication bypass by capture-replay,,login to product,replay attack,remote unauthenticated attacker,Mitsubishi Electric MELSEC iQ-F|iQ-R|Q series,all versions,,,"nan, to, product, login"
CVE-2022-25217,"Use of a hard-coded cryptographic key pair by the telnetd_startup service allows an attacker on the local area network to obtain a root shell on the device over telnet. The builds of telnetd_startup included in the version 22.5.9.163 of the K2 firmware, and version 32.1.15.93 of the K3C firmware (possibly amongst many other releases) included both the private and public RSA keys. The remaining versions cited here redacted the private key, but left the public key unchanged. An attacker in possession of the leaked private key may, through a scripted exchange of UDP packets, instruct telnetd_startup to spawn an unauthenticated telnet shell as root, by means of which they can then obtain complete control of the device. A consequence of the limited availablility of firmware images for testing is that models and versions not listed here may share this vulnerability.",,Use of a hard-coded cryptographic key,use of hard-coded cryptographic key pair,,obtain root shell,,attacker on local area network,PHICOMM K2|K3C,multiple versions,telnetd_startup service,,"shell, pair, nan, root, obtain"
CVE-2022-25336,Ibexa DXP ezsystems/ezpublish-kernel 7.5.x before 7.5.26 and 1.3.x before 1.3.12 allows Insecure Direct Object Reference (IDOR) attacks against image files because the image path and filename can be correctly deduced.,,Insecure Direct Object Reference (IDOR),insecure direct object reference,,access image files,,,,Ibexa DXP ezsystems/ezpublish-kernel,"7.5.x before 7.5.26, 1.3.x before 1.3.12",,"nan, image, files, access"
CVE-2022-25338,ownCloud owncloud/android before 2.20 has Incorrect Access Control for physically proximate attackers.,,Incorrect Access Control,incorrect access control,,,,physically proximate attackers,ownCloud,before 2.20,,,nan
CVE-2022-25339,ownCloud owncloud/android 2.20 has Incorrect Access Control for local attackers.,,Incorrect Access Control,incorrect access control,,,,local attackers,ownCloud,2.2,,,nan
CVE-2022-25357,Pexip Infinity 27.x before 27.2 has Improper Access Control. An attacker can sometimes join a conference (call join) if it has a lock but not a PIN.,,Improper Access Control,improper access control,,join conference without PIN,,attacker,Pexip Infinity,27.x before 27.2,,,"join, pin, conference, nan, without"
CVE-2022-25577,ALF-BanCO v8.2.5 and below was discovered to use a hardcoded password to encrypt the SQLite database containing the user's data. Attackers who are able to gain remote or local access to the system are able to read and modify the data.,,use a hardcoded password,hardcoded password,,read and modify data,,attackers with remote or local access,ALF-BanCO,v8.2.5 and below,SQLite database,,"read, data, nan, modify, and"
CVE-2022-25679,"Denial of service in video due to improper access control in broadcast receivers in Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Wearables",,improper access control,improper access control,,denial of service,,,Snapdragon Compute|Consumer IOT|Industrial IOT|Mobile|Wearables,,broadcast receivers,,"nan, of, service, denial"
CVE-2022-25824,Improper access control vulnerability in BixbyTouch prior to version 2.2.00.6 in China models allows untrusted applications to load arbitrary URL and local files in webview.,,Improper access control,improper access control,,load arbitrary URL and local files,,untrusted applications,BixbyTouch,prior to 2.2.00.6,webview,,"files, nan, local, and, url, load, arbitrary"
CVE-2022-25825,Improper access control vulnerability in Samsung Account prior to version 13.1.0.1 allows attackers to access to the authcode for sign-in.,,,improper access control,,access authcode for sign-in,,attackers,Samsung Account,prior to 13.1.0.1,,,"control, sign, for, in, improper, authcode, access"
CVE-2022-25831,Improper access control vulnerability in S Secure prior to SMR Apr-2022 Release 1 allows physical attackers to access secured data in certain conditions.,,Improper access control,improper access control,,access secured data,,physical attackers,S Secure,prior to SMR Apr-2022 Release 1,,,"nan, data, secured"
CVE-2022-25915,"Improper access control vulnerability in ELECOM LAN routers (WRC-1167GST2 firmware v1.25 and prior, WRC-1167GST2A firmware v1.25 and prior, WRC-1167GST2H firmware v1.25 and prior, WRC-2533GS2-B firmware v1.52 and prior, WRC-2533GS2-W firmware v1.52 and prior, WRC-1750GS firmware v1.03 and prior, WRC-1750GSV firmware v2.11 and prior, WRC-1900GST firmware v1.03 and prior, WRC-2533GST firmware v1.03 and prior, WRC-2533GSTA firmware v1.03 and prior, WRC-2533GST2 firmware v1.25 and prior, WRC-2533GST2SP firmware v1.25 and prior, WRC-2533GST2-G firmware v1.25 and prior, and EDWRC-2533GST2 firmware v1.25 and prior) allows a network-adjacent authenticated attacker to bypass access restriction and to access the management screen of the product via unspecified vectors.",,Improper access control,improper access control,,bypass access restriction|access management screen,,network-adjacent authenticated attacker,ELECOM LAN routers,multiple versions and models,,,"bypass, screen, nan, management, restriction"
CVE-2022-25989,An authentication bypass vulnerability exists in the libxm_av.so getpeermac() functionality of Anker Eufy Homebase 2 2.1.8.5h. A specially-crafted DHCP packet can lead to authentication bypass. An attacker can DHCP poison to trigger this vulnerability.,,"an authentication mechanism that is determined by the connectionâ€™s interface... if an attacker is on the same subnet as the Homebase and can DHCP poison the Homebase [and] subsequently assigns themselves an IP address that matches any device on the br0 interface, then the call to getpeermac() will actually succeed.",authentication bypass,,,DHCP poison,,Anker Eufy Homebase 2,2.1.8.5h,libxm_av.so getpeermac() functionality,,"nan, bypass"
CVE-2022-26019,"Improper access control vulnerability in pfSense CE and pfSense Plus (pfSense CE software versions prior to 2.6.0 and pfSense Plus software versions prior to 22.01) allows a remote attacker with the privilege to change NTP GPS settings to rewrite existing files on the file system, which may result in arbitrary command execution.",CWE-20->CWE-23,The gpsport parameter was not validated properly...A relative path in the parameter could have been leveraged to overwrite an existing file,improper access control,,rewrite existing files|arbitrary command execution,,remote attacker with privilege to change NTP GPS settings,pfSense CE|pfSense Plus,"CE prior to 2.6.0, Plus prior to 22.01",,,"control, files, execution, command, improper, nan, access, rewrite, arbitrary"
CVE-2022-26024,"Improper access control in the Intel(R) NUC HDMI Firmware Update Tool for NUC7i3DN, NUC7i5DN and NUC7i7DN before version 1.78.2.0.7 may allow an authenticated user to potentially enable escalation of privilege via local access.",,Improper access control,improper access control,,escalation of privilege,,authenticated user,Intel NUC HDMI Firmware Update Tool,before 1.78.2.0.7,,,"nan, of, escalation, privilege"
CVE-2022-26090,Improper access control vulnerability in SamsungContacts prior to SMR Apr-2022 Release 1 allows that attackers can access contact information without permission.,,Improper access control,improper access control,,access contact information without permission,,attackers,SamsungContacts,prior to SMR Apr-2022 Release 1,,,"information, permission, nan, contact, without"
