"cve_id","Container","adp_providerMetadata_orgId","adp_providerMetadata_shortName","adp_providerMetadata_dateUpdated","CVE_Description","cna_providerMetadata_orgId","cna_providerMetadata_shortName","cna_providerMetadata_dateUpdated","CWE_ID","CWE_Description"
"CVE-2024-32314","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T21:41:26.463Z","Tenda AC500 V2.0.1.9(1307) firmware contains a command injection vulnerablility in the formexeCommand function via the cmdinput parameter.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32306","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T19:46:23.910Z","Tenda AC10U v1.0 Firmware v15.03.06.49 has a stack overflow vulnerability located via the PPW parameter in the fromWizardHandle function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32290","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-02T17:35:00.983Z","Tenda W30E v1.0 v1.0.1.25(633) firmware has a stack overflow vulnerability via the page parameter in the fromAddressNat function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32359","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-16T17:55:04.743Z","An RBAC authorization risk in Carina v0.13.0 and earlier allows local attackers to execute arbitrary code through designed commands to obtain the secrets of the entire cluster and further take over the cluster.","","","","CWE-285","CWE-285 Improper Authorization"
"CVE-2024-32326","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-19T20:24:28.598Z","TOTOLINK EX200 V4.0.3c.7646_B20201211 contains a Cross-site scripting (XSS) vulnerability through the key parameter in the setWiFiExtenderConfig function.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32324","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-16T14:26:39.571Z","Buffer Overflow vulnerability in Shenzhen Libituo Technology Co., Ltd LBT-T300-T400 v.3.2 allows a local attacker to execute arbitrary code via the vpn_client_ip variable of the config_vpn_pptp function in rc program.","","","","CWE-120","CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"
"CVE-2024-32406","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-30T19:46:53.456Z","Server-Side Template Injection (SSTI) vulnerability in inducer relate before v.2024.1 allows a remote attacker to execute arbitrary code via a crafted payload to the Batch-Issue Exam Tickets function.","","","","CWE-94","CWE-94 Improper Control of Generation of Code ('Code Injection')"
"CVE-2024-32291","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-10T18:50:57.257Z","Tenda W30E v1.0 firmware v1.0.1.25(633) has a stack overflow vulnerability via the page parameter in the fromNatlimit function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32638","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-02T13:39:29.693Z","Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling') vulnerability in Apache APISIX when using `forward-auth` plugin.This issue affects Apache APISIX: from 3.8.0, 3.9.0.  Users are recommended to upgrade to version 3.8.1, 3.9.1 or higher, which fixes the issue.  ","","","","CWE-444","CWE-444 Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling')"
"CVE-2024-32286","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-13T19:33:41.078Z","Tenda W30E v1.0 V1.0.1.25(633) firmware has a stack overflow vulnerability located via the page parameter in the fromVirtualSer function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32618","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T18:11:55.435Z","HDF5 Library through 1.14.3 contains a heap-based buffer overflow in H5T__get_native_type in H5Tnative.c, resulting in the corruption of the instruction pointer.","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32344","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T14:27:51.322Z","A cross-site scripting (XSS) vulnerability in the Settings menu of CMSimple v5.15 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Edit parameter under the Language section.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32213","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-02T18:34:04.566Z","The LoMag WareHouse Management application version 1.0.20.120 and older were found to allow weak passwords. By default, hard-coded passwords of 10 characters with little or no complexity are allowed.","","","","CWE-521","CWE-521 Weak Password Requirements"
"CVE-2024-32352","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-14T19:13:46.101Z","TOTOLINK X5000R V9.1.0cu.2350_B20230313 was discovered to contain an authenticated remote command execution (RCE) vulnerability via the ""ipsecL2tpEnable"" parameter in the ""cstecgi.cgi"" binary.","","","","CWE-94","CWE-94 Improper Control of Generation of Code ('Code Injection')"
"CVE-2024-32299","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T16:13:14.580Z","Tenda FH1203 v2.0.1.6 firmware has a stack overflow vulnerability via the PPW parameter in the fromWizardHandle function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32332","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-18T20:14:20.959Z","TOTOLINK N300RT V2.1.8-B20201030.1539 contains a Store Cross-site scripting (XSS) vulnerability in WDS Settings under the Wireless Page.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32746","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T20:14:08.894Z","A cross-site scripting (XSS) vulnerability in the Settings section of WonderCMS v3.4.3 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the MENU parameter under the Menu module.","","","","CWE-80","CWE-80 Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)"
"CVE-2024-32206","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T16:37:54.176Z","A stored cross-site scripting (XSS) vulnerability in the component \\affiche\\admin\\index.php of WUZHICMS v4.1.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the $formdata parameter.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32491","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-30T15:39:00.237Z","An issue was discovered in Znuny and Znuny LTS 6.0.31 through 6.5.7 and Znuny 7.0.1 through 7.0.16 where a logged-in user can upload a file (via a manipulated AJAX Request) to an arbitrary writable location by traversing paths. Arbitrary code can be executed if this location is publicly available through the web server.","","","","CWE-94","CWE-94 Improper Control of Generation of Code ('Code Injection')"
"CVE-2024-32338","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-20T03:46:38.855Z","A cross-site scripting (XSS) vulnerability in the Settings section of WonderCMS v3.4.3 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the PAGE TITLE parameter under the Current Page module.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32891","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-17T16:19:00.316Z","In sec_media_unprotect of media.c, there is a possible memory corruption due to a race condition. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","","","","CWE-362","CWE-362 Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"
"CVE-2024-32283","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T15:52:01.519Z","Tenda FH1203 V2.0.1.6 firmware has a command injection vulnerablility in formexeCommand function via the cmdinput parameter.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32282","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-16T14:34:34.355Z","Tenda FH1202 v1.2.0.14(408) firmware contains a command injection vulnerablility in the formexeCommand function via the cmdinput parameter.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32615","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T18:38:23.162Z","HDF5 Library through 1.14.3 contains a heap-based buffer overflow in H5Z__nbit_decompress_one_byte in H5Znbit.c, caused by the earlier use of an initialized pointer.","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32738","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T19:30:14.525Z","A sql injection vulnerability exists in CyberPower PowerPanel Enterprise prior to v2.8.3. An unauthenticated remote attacker can leak sensitive information via the ""query_ptask_lean"" function within MCUDBHelper. ","","","","CWE-89","CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
"CVE-2024-32315","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T15:14:47.184Z","Tenda FH1202 v1.2.0.14(408) firmware has a stack overflow vulnerability via the adslPwd parameter in the formWanParameterSetting function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32487","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-03T16:31:22.513Z","less through 653 allows OS command execution via a newline character in the name of a file, because quoting is mishandled in filename.c. Exploitation typically requires use with attacker-controlled file names, such as the files extracted from an untrusted archive. Exploitation also requires the LESSOPEN environment variable, but this is set by default in many common cases.","","","","CWE-96","CWE-96 Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection')"
"CVE-2024-32163","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T19:40:42.766Z","CMSeasy 7.7.7.9 is vulnerable to code execution.","","","","CWE-22","CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
"CVE-2024-32674","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-08T15:07:56.087Z","Heateor Social Login WordPress prior to 1.1.32 contains a cross-site scripting vulnerability. If this vulnerability is exploited, an arbitrary script may be executed on the web browser of the user who accessed the website using the product.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32613","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T18:12:03.541Z","HDF5 Library through 1.14.3 contains a heap-based buffer over-read in the function H5HL__fl_deserialize in H5HLcache.c, a different vulnerability than CVE-2024-32612.","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32335","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-25T19:45:52.541Z","TOTOLINK N300RT V2.1.8-B20201030.1539 contains a Store Cross-site scripting (XSS) vulnerability in Access Control under the Wireless Page.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32312","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T19:49:03.686Z","Tenda F1203 V2.0.1.6 firmware has a stack overflow vulnerability located in the adslPwd parameter of the formWanParameterSetting function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32605","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T18:35:48.439Z","HDF5 Library through 1.14.3 has a heap-based buffer over-read in H5VM_memcpyvv in H5VM.c (called from H5D__compact_readvv in H5Dcompact.c).","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32210","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-16T13:16:16.216Z","The LoMag WareHouse Management application version 1.0.20.120 and older were to utilize hard-coded passwords by default for forms and SQL connections.","","","","CWE-259","CWE-259 Use of Hard-coded Password"
"CVE-2024-32258","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-23T18:12:18.454Z","The network server of fceux 2.7.0 has a path traversal vulnerability, allowing attackers to overwrite any files on the server without authentication by fake ROM.","","","","CWE-22","CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"
"CVE-2024-32355","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-14T18:39:16.210Z","TOTOLINK X5000R V9.1.0cu.2350_B20230313 was discovered to contain a command injection vulnerability via the 'password' parameter in the setSSServer function.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32620","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T18:07:54.251Z","HDF5 Library through 1.14.3 contains a heap-based buffer over-read in H5F_addr_decode_len in H5Fint.c, resulting in the corruption of the instruction pointer.","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32392","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-20T00:17:59.603Z","Cross Site Scripting vulnerability in CmSimple v.5.15 allows a remote attacker to execute arbitrary code via the functions.php component.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32287","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T19:44:24.142Z","Tenda W30E v1.0 V1.0.1.25(633) firmware has a stack overflow vulnerability via the qos parameter in the fromqossetting function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32612","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T18:12:07.563Z","HDF5 Library through 1.14.3 contains a heap-based buffer over-read in H5HL__fl_deserialize in H5HLcache.c, resulting in the corruption of the instruction pointer, a different vulnerability than CVE-2024-32613.","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32318","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T15:40:15.328Z","Tenda AC500 V2.0.1.9(1307) firmware has a stack overflow vulnerability via the vlan parameter in the formSetVlanInfo function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32305","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-05T16:11:59.003Z","Tenda A18 v15.03.05.05 firmware has a stack overflow vulnerability located via the PPW parameter in the fromWizardHandle function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32292","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T20:04:27.280Z","Tenda W30E v1.0 V1.0.1.25(633) firmware contains a command injection vulnerablility in the formexeCommand function via the cmdinput parameter.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32325","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-19T14:58:53.392Z","TOTOLINK EX200 V4.0.3c.7646_B20201211 contains a Cross-site scripting (XSS) vulnerability through the ssid parameter in the setWiFiExtenderConfig function.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32407","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T22:10:20.421Z","An issue in inducer relate before v.2024.1 allows a remote attacker to execute arbitrary code via a crafted payload to the Page Sandbox feature.","","","","CWE-1336","CWE-1336 Improper Neutralization of Special Elements Used in a Template Engine"
"CVE-2024-32354","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-14T19:53:56.152Z","TOTOLINK X5000R V9.1.0cu.2350_B20230313 was discovered to contain a command injection vulnerability via the 'timeout' parameter in the setSSServer function at /cgi-bin/cstecgi.cgi.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32229","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-05T15:10:32.779Z","FFmpeg 7.0 contains a heap-buffer-overflow at libavfilter/vf_tiltandshift.c:189:5 in copy_column.","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32418","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-02T15:27:43.174Z","An issue in flusity CMS v2.33 allows a remote attacker to execute arbitrary code via the add_addon.php component.","","","","CWE-269","CWE-269 Improper Privilege Management"
"CVE-2024-32418","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-02T15:27:43.174Z","An issue in flusity CMS v2.33 allows a remote attacker to execute arbitrary code via the add_addon.php component.","","","","CWE-284","CWE-284 Improper Access Control"
"CVE-2024-32339","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-13T16:36:28.341Z","Multiple cross-site scripting (XSS) vulnerabilities in the HOW TO page of WonderCMS v3.4.3 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into any of the parameters.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32409","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T19:02:44.138Z","An issue in SEMCMS v.4.8 allows a remote attacker to execute arbitrary code via a crafted script.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32353","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-16T18:37:42.737Z","TOTOLINK X5000R V9.1.0cu.2350_B20230313 was discovered to contain a command injection vulnerability via the 'port' parameter in the setSSServer function at /cgi-bin/cstecgi.cgi.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32327","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-19T18:35:05.992Z","TOTOLINK N300RT V2.1.8-B20201030.1539 contains a Store Cross-site scripting (XSS) vulnerability in Port Forwarding under the Firewall Page.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32311","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T19:53:29.491Z","Tenda FH1203 v2.0.1.6 firmware has a stack overflow vulnerability via the adslPwd parameter in the formWanParameterSetting function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32228","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-02T15:49:57.278Z","FFmpeg 7.0 is vulnerable to Buffer Overflow. There is a SEGV at libavcodec/hevcdec.c:2947:22 in hevc_frame_end.","","","","CWE-120","CWE-120 Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"
"CVE-2024-32228","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-02T15:49:57.278Z","FFmpeg 7.0 is vulnerable to Buffer Overflow. There is a SEGV at libavcodec/hevcdec.c:2947:22 in hevc_frame_end.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32343","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-23T15:46:00.281Z","A cross-site scripting (XSS) vulnerability in the Create Page of Boid CMS v2.1.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Content parameter.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32745","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-23T15:59:29.158Z","A cross-site scripting (XSS) vulnerability in the Settings section of WonderCMS v3.4.3 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the PAGE DESCRIPTION parameter under the CURRENT PAGE module.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32909","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-14T18:01:05.487Z","In handle_msg of main.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","","","","CWE-787","CWE-787 Out-of-bounds Write"
"CVE-2024-32337","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-12T20:24:56.222Z","A cross-site scripting (XSS) vulnerability in the Settings section of WonderCMS v3.4.3 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the ADMIN LOGIN URL parameter under the Security module.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32349","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-14T19:59:06.100Z","TOTOLINK X5000R V9.1.0cu.2350_B20230313 was discovered to contain an authenticated remote command execution (RCE) vulnerability via the ""mtu"" parameters in the ""cstecgi.cgi"" binary.","","","","CWE-77","CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32370","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-29T19:25:39.955Z","An issue in HSC Cybersecurity HC Mailinspector 5.2.17-3 through 5.2.18 allows a remote attacker to obtain sensitive information via a crafted payload to the id parameter in the mliSystemUsers.php component.","","","","CWE-782","CWE-782 Exposed IOCTL with Insufficient Access Control"
"CVE-2024-32025","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-23T00:35:04.072Z","Kohya_ss is a GUI for Kohya's Stable Diffusion trainers. Kohya_ss is vulnerable to a command injection in `group_images_gui.py`. This vulnerability is fixed in 23.1.5.","","","","CWE-77","CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection')"
"CVE-2024-32737","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T17:27:13.881Z","A sql injection vulnerability exists in CyberPower PowerPanel Enterprise prior to v2.8.3. An unauthenticated remote attacker can leak sensitive information via the ""query_contract_result"" function within MCUDBHelper. ","","","","CWE-89","CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
"CVE-2024-32162","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-16T15:29:22.303Z","CMSeasy 7.7.7.9 is vulnerable to Arbitrary file deletion.","","","","CWE-791","CWE-791 Incomplete Filtering of Special Elements"
"CVE-2024-32302","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-07-16T18:45:14.980Z","Tenda FH1202 v1.2.0.14(408) firmware has a stack overflow vulnerability via the PPW parameter in the fromWizardHandle function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32211","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-06T20:34:16.960Z","An issue in LOGINT LoMag Inventory Management v1.0.20.120 and before allows a local attacker to obtain sensitive information via the UserClass.cs and Settings.cs components.","","","","CWE-328","CWE-328 Use of Weak Hash"
"CVE-2024-32896","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-14T14:12:27.882Z","there is a possible way to bypass  due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.","","","","CWE-783","CWE-783 Operator Precedence Logic Error"
"CVE-2024-32616","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-09T18:11:59.632Z","HDF5 Library through 1.14.3 contains a heap-based buffer over-read in H5O__dtype_encode_helper in H5Odtype.c.","","","","CWE-122","CWE-122 Heap-based Buffer Overflow"
"CVE-2024-32743","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-23T20:53:28.356Z","A cross-site scripting (XSS) vulnerability in the Settings section of WonderCMS v3.4.3 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the SITE LANGUAGE CONFIG parameter under the Security module.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-32371","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-29T19:28:09.074Z","An issue in HSC Cybersecurity HC Mailinspector 5.2.17-3 through 5.2.18 allows a regular user account to escalate their privileges and gain administrative access by changing the type parameter from 1 to 0.","","","","CWE-20","CWE-20 Improper Input Validation"
"CVE-2024-32849","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-11T14:43:32.604Z","Trend Micro Security 17.x (Consumer) is vulnerable to a Privilege Escalation vulnerability that could allow a local attacker to unintentionally delete privileged Trend Micro files including its own.","","","","CWE-269","CWE-269 Improper Privilege Management"
"CVE-2024-32893","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-14T18:01:52.893Z","In _s5e9865_mif_set_rate of exynos_dvfs.c, there is a possible out of bounds read due to improper casting. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.","","","","CWE-125","CWE-125 Out-of-bounds Read"
"CVE-2024-32313","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-04-22T19:48:31.044Z","Tenda FH1205 V2.0.0.7(775) firmware has a stack overflow vulnerability located via the adslPwd parameter of the formWanParameterSetting function.","","","","CWE-121","CWE-121 Stack-based Buffer Overflow"
"CVE-2024-32907","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-17T16:40:58.262Z","In memcall_add of memlog.c, there is a possible buffer overflow due to improper input validation. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.","","","","CWE-20","CWE-20 Improper Input Validation"
"CVE-2024-32342","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-06-12T20:21:32.266Z","A cross-site scripting (XSS) vulnerability in the Create Page of Boid CMS v2.1.0 allows attackers to execute arbitrary web scripts or HTML via a crafted payload injected into the Permalink parameter.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-35551","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-22T15:42:30.648Z","idccms v1.35 was discovered to contain a Cross-Site Request Forgery (CSRF) via the component /admin/infoWeb_deal.php?mudi=add.","","","","CWE-352","CWE-352 Cross-Site Request Forgery (CSRF)"
"CVE-2024-35352","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-30T19:23:06.278Z","A vulnerability has been discovered in Dino Physics School Assistant version 2.3. This vulnerability impacts unidentified code within the file /classes/Users.php?f=save. Manipulating the parameter middlename results in cross-site scripting.","","","","CWE-79","CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"
"CVE-2024-35056","adp","134c704f-9b21-4f2e-91b3-4a467353bcc0","CISA-ADP","2024-05-21T18:49:19.360Z","NASA AIT-Core v2.5.2 was discovered to contain multiple SQL injection vulnerabilities via the query_packets and insert functions.","","","","CWE-89","CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')"
