"CVE","Description","Chains","Weakness_Description","ROOTCAUSE","WEAKNESS","IMPACT","VECTOR","ATTACKER","PRODUCT","VERSION","COMPONENT","missing","extra","JSON"
"CVE-2021-21951","An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function read_udp_push_config_file. A specially-crafted network packet can lead to code execution.","CWE-1284->CWE-787","out-of-bounds write"," ","out-of-bounds write","code execution","specially-crafted network packet"," ","Anker Eufy Homebase 2","2.1.6.9h","CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary","","execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""out-of-bounds write"", ""IMPACT"": ""code execution"", ""VECTOR"": ""specially-crafted network packet"", ""ATTACKER"": "" "", ""PRODUCT"": ""Anker Eufy Homebase 2"", ""VERSION"": ""2.1.6.9h"", ""COMPONENT"": ""CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary""}"
"CVE-2021-21960","A stack-based buffer overflow vulnerability exists in both the LLMNR functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","CWE-1284->CWE-121","stack-based buffer overflow"," ","stack-based buffer overflow","remote code execution","specially-crafted network packet"," ","Sealevel Systems Inc. SeaConnect 370W","v1.3.34","LLMNR functionality","","remote, execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially-crafted network packet"", ""ATTACKER"": "" "", ""PRODUCT"": ""Sealevel Systems Inc. SeaConnect 370W"", ""VERSION"": ""v1.3.34"", ""COMPONENT"": ""LLMNR functionality""}"
"CVE-2021-21961","A stack-based buffer overflow vulnerability exists in the NBNS functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","","stack-based buffer overflow"," ","stack-based buffer overflow","remote code execution","specially-crafted network packet"," ","Sealevel Systems Inc. SeaConnect 370W","v1.3.34","NBNS functionality","","remote, execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""specially-crafted network packet"", ""ATTACKER"": "" "", ""PRODUCT"": ""Sealevel Systems Inc. SeaConnect 370W"", ""VERSION"": ""v1.3.34"", ""COMPONENT"": ""NBNS functionality""}"
"CVE-2021-21962","A heap-based buffer overflow vulnerability exists in the OTA Update u-download functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A series of specially-crafted MQTT payloads can lead to remote code execution. An attacker must perform a man-in-the-middle attack in order to trigger this vulnerability.","","heap-based buffer overflow"," ","heap-based buffer overflow","remote code execution","series of specially-crafted MQTT payloads"," ","Sealevel Systems Inc. SeaConnect 370W","v1.3.34","OTA Update u-download functionality","","remote, execution, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""series of specially-crafted MQTT payloads"", ""ATTACKER"": "" "", ""PRODUCT"": ""Sealevel Systems Inc. SeaConnect 370W"", ""VERSION"": ""v1.3.34"", ""COMPONENT"": ""OTA Update u-download functionality""}"
"CVE-2021-22437","There is a software integer overflow leading to a TOCTOU condition in smartphones. Successful exploitation of this vulnerability may cause random address access.","CWE-190->CWE-367","software integer overflow leading to a TOCTOU condition","","software integer overflow","random address access | TOCTOU condition"," "," ","smartphones"," ","","","nan, address, access, random","{""ROOTCAUSE"": null, ""WEAKNESS"": ""software integer overflow"", ""IMPACT"": [""random address access "", "" TOCTOU condition""], ""VECTOR"": "" "", ""ATTACKER"": "" "", ""PRODUCT"": ""smartphones"", ""VERSION"": "" "", ""COMPONENT"": null}"
"CVE-2021-23138","WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a stack-based buffer overflow, which may allow an attacker to remotely execute code.","CWE-20->CWE-121","stack-based buffer overflow"," ","stack-based buffer overflow","remotely execute code"," ","","WECON LeviStudioU","Versions 2019-09-21 and prior","","","remotely, execute, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remotely execute code"", ""VECTOR"": "" "", ""ATTACKER"": null, ""PRODUCT"": ""WECON LeviStudioU"", ""VERSION"": ""Versions 2019-09-21 and prior"", ""COMPONENT"": null}"
"CVE-2021-23157","WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a heap-based buffer overflow, which may allow an attacker to remotely execute code.","","vulnerable to a heap-based buffer overflow"," ","heap-based buffer overflow","remotely execute code"," ","","WECON LeviStudioU","Versions 2019-09-21 and prior","","","remotely, execute, code","{""ROOTCAUSE"": "" "", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""remotely execute code"", ""VECTOR"": "" "", ""ATTACKER"": null, ""PRODUCT"": ""WECON LeviStudioU"", ""VERSION"": ""Versions 2019-09-21 and prior"", ""COMPONENT"": null}"
"CVE-2021-23158","A flaw was found in htmldoc in v1.9.12. Double-free in function pspdf_export(),in ps-pdf.cxx may result in a write-what-where condition, allowing an attacker to execute arbitrary code and denial of service.","","Double-free in function","Double-free"," ","write-what-where condition|denial of service"," ","","htmldoc","v1.9.12","ps-pdf.cxx","","condition, service, of, where, what, denial, write","{""ROOTCAUSE"": ""Double-free"", ""WEAKNESS"": "" "", ""IMPACT"": [""write-what-where condition"", ""denial of service""], ""VECTOR"": "" "", ""ATTACKER"": null, ""PRODUCT"": ""htmldoc"", ""VERSION"": ""v1.9.12"", ""COMPONENT"": ""ps-pdf.cxx""}"
"CVE-2021-23165","A flaw was found in htmldoc before v1.9.12. Heap buffer overflow in pspdf_prepare_outpages(), in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","","Heap buffer overflow","","Heap buffer overflow","execute arbitrary code|denial of service"," "," ","htmldoc","before v1.9.12","ps-pdf.cxx","","execute, service, arbitrary, of, nan, denial, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Heap buffer overflow"", ""IMPACT"": [""execute arbitrary code"", ""denial of service""], ""VECTOR"": "" "", ""ATTACKER"": "" "", ""PRODUCT"": ""htmldoc"", ""VERSION"": ""before v1.9.12"", ""COMPONENT"": ""ps-pdf.cxx""}"
"CVE-2021-23169","A heap-buffer overflow was found in the copyIntoFrameBuffer function of OpenEXR in versions before 3.0.1. An attacker could use this flaw to execute arbitrary code with the permissions of the user running the application compiled against OpenEXR.","","heap-buffer overflow","","heap-buffer overflow","execute arbitrary code"," "," ","OpenEXR","before 3.0.1","copyIntoFrameBuffer function","","nan, execute, arbitrary, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""heap-buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": "" "", ""ATTACKER"": "" "", ""PRODUCT"": ""OpenEXR"", ""VERSION"": ""before 3.0.1"", ""COMPONENT"": ""copyIntoFrameBuffer function""}"
"CVE-2021-23206","A flaw was found in htmldoc in v1.9.12 and prior. A stack buffer overflow in parse_table() in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","","A stack buffer overflow","","stack buffer overflow","execute arbitrary code|denial of service"," "," ","htmldoc","v1.9.12 and prior","ps-pdf.cxx","","execute, service, arbitrary, of, nan, denial, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": [""execute arbitrary code"", ""denial of service""], ""VECTOR"": "" "", ""ATTACKER"": "" "", ""PRODUCT"": ""htmldoc"", ""VERSION"": ""v1.9.12 and prior"", ""COMPONENT"": ""ps-pdf.cxx""}"
"CVE-2021-24018","A buffer underwrite vulnerability in the firmware verification routine of FortiOS before 7.0.1 may allow an attacker located in the adjacent network to potentially execute arbitrary code via a specifically crafted firmware image.","","A buffer underwrite vulnerability","","buffer underwrite","execute arbitrary code","specifically crafted firmware image","attacker located in the adjacent network","FortiOS","before 7.0.1","firmware verification routine","","nan, execute, arbitrary, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""buffer underwrite"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""specifically crafted firmware image"", ""ATTACKER"": ""attacker located in the adjacent network"", ""PRODUCT"": ""FortiOS"", ""VERSION"": ""before 7.0.1"", ""COMPONENT"": ""firmware verification routine""}"
"CVE-2021-26112","Multiple stack-based buffer overflow vulnerabilities [CWE-121] both in network daemons and in the command line interpreter of FortiWAN before 4.5.9 may allow an unauthenticated attacker to potentially corrupt control data in memory and execute arbitrary code via specifically crafted requests.","","","","stack-based buffer overflow","potentially corrupt control data in memory | execute arbitrary code","specifically crafted requests","unauthenticated attacker","FortiWAN","before 4.5.9","network daemons and command line interpreter","","control, execute, potentially, corrupt, memory, based, buffer, data, in, code, overflow, stack, arbitrary","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": [""potentially corrupt control data in memory "", "" execute arbitrary code""], ""VECTOR"": ""specifically crafted requests"", ""ATTACKER"": ""unauthenticated attacker"", ""PRODUCT"": ""FortiWAN"", ""VERSION"": ""before 4.5.9"", ""COMPONENT"": ""network daemons and command line interpreter""}"
"CVE-2021-26252","A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in pspdf_prepare_page(),in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","","Heap buffer overflow","","Heap buffer overflow","","","","htmldoc","v1.9.12","pspdf_prepare_page() in ps-pdf.cxx","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Heap buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""htmldoc"", ""VERSION"": ""v1.9.12"", ""COMPONENT"": ""pspdf_prepare_page() in ps-pdf.cxx""}"
"CVE-2021-26259","A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in render_table_row(),in ps-pdf.cxx may lead to arbitrary code execution and denial of service.","","Heap buffer overflow","","Heap buffer overflow","potentially corrupt control data in memory | execute arbitrary code","","","htmldoc","v1.9.12","render_table_row() in ps-pdf.cxx","","control, execute, potentially, arbitrary, corrupt, memory, data, in, nan, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Heap buffer overflow"", ""IMPACT"": [""potentially corrupt control data in memory "", "" execute arbitrary code""], ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""htmldoc"", ""VERSION"": ""v1.9.12"", ""COMPONENT"": ""render_table_row() in ps-pdf.cxx""}"
"CVE-2021-26347","Failure to validate the integer operand in ASP (AMD Secure Processor) bootloader may allow an attacker to introduce an integer overflow in the L2 directory table in SPI flash resulting in a potential denial of service.","CWE-1284->CWE-190","Failure to validate the integer operand ... introduce an integer overflow","Failure to validate the integer operand","integer overflow","potential denial of service","","","ASP (AMD Secure Processor)","","bootloader","","denial, of, service, potential","{""ROOTCAUSE"": ""Failure to validate the integer operand"", ""WEAKNESS"": ""integer overflow"", ""IMPACT"": ""potential denial of service"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""ASP (AMD Secure Processor)"", ""VERSION"": null, ""COMPONENT"": ""bootloader""}"
"CVE-2021-26384","A malformed SMI (System Management Interface) command may allow an attacker to establish a corrupted SMI Trigger Info data structure, potentially leading to out-of-bounds memory reads and writes when triggering an SMI resulting in a potential loss of resources.","","potentially leading to out-of-bounds memory reads and writes","","out-of-bounds memory reads and writes","potential loss of resources","malformed SMI command","","","","SMI (System Management Interface)","","nan, resources, loss, potential","{""ROOTCAUSE"": null, ""WEAKNESS"": ""out-of-bounds memory reads and writes"", ""IMPACT"": ""potential loss of resources"", ""VECTOR"": ""malformed SMI command"", ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""SMI (System Management Interface)""}"
"CVE-2021-26386","A malicious or compromised UApp or ABL may be used by an attacker to issue a malformed system call to the Stage 2 Bootloader potentially leading to corrupt memory and code execution.","","leading to corrupt memory","","corrupt memory","code execution","malformed system call","","","","Stage 2 Bootloader","","nan, execution, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""corrupt memory"", ""IMPACT"": ""code execution"", ""VECTOR"": ""malformed system call"", ""ATTACKER"": null, ""PRODUCT"": null, ""VERSION"": null, ""COMPONENT"": ""Stage 2 Bootloader""}"
"CVE-2021-26567","Stack-based buffer overflow vulnerability in frontend/main.c in faad2 before 2.2.7.1 allow local attackers to execute arbitrary code via filename and pathname options.","","Stack-based buffer overflow","","Stack-based buffer overflow","execute arbitrary code","filename and pathname options","local attackers","faad2","before 2.2.7.1","frontend/main.c","","nan, execute, arbitrary, code","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""filename and pathname options"", ""ATTACKER"": ""local attackers"", ""PRODUCT"": ""faad2"", ""VERSION"": ""before 2.2.7.1"", ""COMPONENT"": ""frontend/main.c""}"
"CVE-2021-26635","In the code that verifies the file size in the ark library, it is possible to manipulate the offset read from the target file due to the wrong use of the data type. An attacker could use this vulnerability to cause a stack buffer overflow and as a result, perform an attack such as remote code execution.","CWE-843->CWE-121","due to the wrong use of the data type ... to cause a stack buffer overflow","wrong use of the data type","stack buffer overflow","remote code execution","","","ark library","","","","remote, execution, code","{""ROOTCAUSE"": ""wrong use of the data type"", ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""ark library"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-26727","Multiple command injections and stack-based buffer overflows vulnerabilities in the SubNet_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Multiple command injections and stack-based buffer overflows","","command injections | stack-based buffer overflows","execute arbitrary code with the same privileges as the server user (root)","","","Lanner Inc IAC-AST2500A","standard firmware version 1.10.0","SubNet_handler_func function of spx_restservice","","execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the","{""ROOTCAUSE"": null, ""WEAKNESS"": [""command injections "", "" stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""SubNet_handler_func function of spx_restservice""}"
"CVE-2021-26728","Command injection and stack-based buffer overflow vulnerabilities in the KillDupUsr_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Command injection and stack-based buffer overflow vulnerabilities","","command injection | stack-based buffer overflows","execute arbitrary code with the same privileges as the server user (root)","","","Lanner Inc IAC-AST2500A","standard firmware version 1.10.0","KillDupUsr_func function of spx_restservice","","execute, arbitrary, server, privileges, same, nan, with, user, overflows, root, as, code, the","{""ROOTCAUSE"": null, ""WEAKNESS"": [""command injection "", "" stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""KillDupUsr_func function of spx_restservice""}"
"CVE-2021-26729","Command injection and multiple stack-based buffer overflows vulnerabilities in the Login_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Command injection and multiple stack-based buffer overflows","","command injection | stack-based buffer overflows","execute arbitrary code with the same privileges as the server user (root)","","","Lanner Inc IAC-AST2500A","standard firmware version 1.10.0","Login_handler_func function of spx_restservice","","execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the","{""ROOTCAUSE"": null, ""WEAKNESS"": [""command injection "", "" stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""Login_handler_func function of spx_restservice""}"
"CVE-2021-26730","A stack-based buffer overflow vulnerability in a subfunction of the Login_handler_func function of spx_restservice allows an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","A stack-based buffer overflow vulnerability","","stack-based buffer overflow","execute arbitrary code with the same privileges as the server user (root)","","","Lanner Inc IAC-AST2500A","standard firmware version 1.10.0","subfunction of the Login_handler_func function of spx_restservice","","execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""subfunction of the Login_handler_func function of spx_restservice""}"
"CVE-2021-26731","Command injection and multiple stack-based buffer overflows vulnerabilities in the modifyUserb_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","","Command injection and multiple stack-based buffer overflows","","Command injection | stack-based buffer overflows","execute arbitrary code with the same privileges as the server user (root)","","","Lanner Inc IAC-AST2500A","standard firmware version 1.10.0","modifyUserb_func function of spx_restservice","","execute, arbitrary, server, privileges, same, nan, with, user, root, as, code, the","{""ROOTCAUSE"": null, ""WEAKNESS"": [""Command injection "", "" stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""modifyUserb_func function of spx_restservice""}"
"CVE-2021-28237","LibreDWG v0.12.3 was discovered to contain a heap-buffer overflow via decode_preR13.","","heap-buffer overflow","","heap-buffer overflow","","","","LibreDWG","v0.12.3","decode_preR13","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""heap-buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""LibreDWG"", ""VERSION"": ""v0.12.3"", ""COMPONENT"": ""decode_preR13""}"
"CVE-2021-28277","A Heap-based Buffer Overflow vulnerabilty exists in jhead 3.04 and 3.05 is affected by: Buffer Overflow via the RemoveUnknownSections function in jpgfile.c.","","A Heap-based Buffer Overflow","","Heap-based Buffer Overflow","","","","jhead","3.04 and 3.05","RemoveUnknownSections function in jpgfile.c","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Heap-based Buffer Overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""jhead"", ""VERSION"": ""3.04 and 3.05"", ""COMPONENT"": ""RemoveUnknownSections function in jpgfile.c""}"
"CVE-2021-28278","A Heap-based Buffer Overflow vulnerability exists in jhead 3.04 and 3.05 via the RemoveSectionType function in jpgfile.c.","","A Heap-based Buffer Overflow","","Heap-based Buffer Overflow","","","","jhead","3.04 and 3.05","RemoveSectionType function in jpgfile.c","","","{""ROOTCAUSE"": null, ""WEAKNESS"": ""Heap-based Buffer Overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""jhead"", ""VERSION"": ""3.04 and 3.05"", ""COMPONENT"": ""RemoveSectionType function in jpgfile.c""}"
"CVE-2021-29568","TensorFlow is an end-to-end open source platform for machine learning. An attacker can trigger undefined behavior by binding to null pointer in `tf.raw_ops.ParameterizedTruncatedNormal`. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/3f6fe4dfef6f57e768260b48166c27d148f3015f/tensorflow/core/kernels/parameterized_truncated_normal_op.cc#L630) does not validate input arguments before accessing the first element of `shape`. If `shape` argument is empty, then `shape_tensor.flat<T>()` is an empty array. The fix will be included in TensorFlow 2.5.0. We will also cherrypick this commit on TensorFlow 2.4.2, TensorFlow 2.3.3, TensorFlow 2.2.3 and TensorFlow 2.1.4, as these are also affected and still in supported range.","CWE-20->CWE-476","does not validate input arguments before accessing the first element","does not validate input arguments before accessing the first element","","undefined behavior","","","TensorFlow","2.5.0, 2.4.2, 2.3.3, 2.2.3 and 2.1.4","tf.raw_ops.ParameterizedTruncatedNormal","","nan, behavior, undefined","{""ROOTCAUSE"": ""does not validate input arguments before accessing the first element"", ""WEAKNESS"": null, ""IMPACT"": ""undefined behavior"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""TensorFlow"", ""VERSION"": ""2.5.0, 2.4.2, 2.3.3, 2.2.3 and 2.1.4"", ""COMPONENT"": ""tf.raw_ops.ParameterizedTruncatedNormal""}"
"CVE-2021-30289","Possible buffer overflow due to lack of range check while processing a DIAG command for COEX management in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables","CWE-20->CWE-119","possible buffer overflow due to lack of range check","lack of range check","buffer overflow","","","","Snapdragon","","DIAG command for COEX management","","","{""ROOTCAUSE"": ""lack of range check"", ""WEAKNESS"": ""buffer overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": ""DIAG command for COEX management""}"
"CVE-2021-30311","Possible heap overflow due to lack of index validation before allocating and writing to heap buffer in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","CWE-129->CWE-122","due to lack of index validation before allocating and writing to heap buffer","lack of index validation before allocating and writing to heap buffer","heap overflow","","","","Snapdragon","","","","nan, overflow","{""ROOTCAUSE"": ""lack of index validation before allocating and writing to heap buffer"", ""WEAKNESS"": ""heap overflow"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-30349","Improper access control sequence for AC database after memory allocation can lead to possible memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking","CWE-284->CWE-787","Improper access control sequence","Improper access control sequence","memory corruption","","","","Snapdragon","","AC database","","nan, corruption, memory","{""ROOTCAUSE"": ""Improper access control sequence"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": ""AC database""}"
"CVE-2021-30350","Lack of MBN header size verification against input buffer can lead to memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables","CWE-1284->CWE-787","Lack of header size verification against input buffer","Lack of header size verification against input buffer","memory corruption","","","","Snapdragon","","MBN header","","nan, corruption, memory","{""ROOTCAUSE"": ""Lack of header size verification against input buffer"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": null, ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""Snapdragon"", ""VERSION"": null, ""COMPONENT"": ""MBN header""}"
"CVE-2021-30982","A race condition was addressed with improved locking. This issue is fixed in macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2. A remote attacker may be able to cause unexpected application termination or heap corruption.","","a race condition was addressed","","race condition","unexpected application termination or heap corruption","","remote attacker","macOS","macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2","","","termination, unexpected, heap, corruption, nan, application, or","{""ROOTCAUSE"": null, ""WEAKNESS"": ""race condition"", ""IMPACT"": ""unexpected application termination or heap corruption"", ""VECTOR"": null, ""ATTACKER"": ""remote attacker"", ""PRODUCT"": ""macOS"", ""VERSION"": ""macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2"", ""COMPONENT"": null}"
"CVE-2021-31578","In Boa, there is a possible escalation of privilege due to a stack buffer overflow. This could lead to remote escalation of privilege from a proximal attacker with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: A20210008; Issue ID: OSBNB00123241.","","due to a stack buffer overflow","","stack buffer overflow","remote escalation of privilege","","proximal attacker","Boa","","","","of, nan, escalation, privilege, remote","{""ROOTCAUSE"": null, ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""remote escalation of privilege"", ""VECTOR"": null, ""ATTACKER"": ""proximal attacker"", ""PRODUCT"": ""Boa"", ""VERSION"": null, ""COMPONENT"": null}"
"CVE-2021-31884","A vulnerability has been identified in APOGEE MBC (PPC) (BACnet) (All versions), APOGEE MBC (PPC) (P2 Ethernet) (All versions), APOGEE MEC (PPC) (BACnet) (All versions), APOGEE MEC (PPC) (P2 Ethernet) (All versions), APOGEE PXC Compact (BACnet) (All versions < V3.5.4), APOGEE PXC Compact (P2 Ethernet) (All versions < V2.8.19), APOGEE PXC Modular (BACnet) (All versions < V3.5.4), APOGEE PXC Modular (P2 Ethernet) (All versions < V2.8.19), Capital VSTAR (All versions with enabled Ethernet options), Desigo PXC00-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC00-U (All versions >= V2.3 and < V6.30.016), Desigo PXC001-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC100-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC12-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC128-U (All versions >= V2.3 and < V6.30.016), Desigo PXC200-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC22-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC22.1-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC36.1-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC50-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC64-U (All versions >= V2.3 and < V6.30.016), Desigo PXM20-E (All versions >= V2.3 and < V6.30.016), Nucleus NET (All versions), Nucleus ReadyStart V3 (All versions < V2017.02.4), Nucleus Source Code (All versions), TALON TC Compact (BACnet) (All versions < V3.5.4), TALON TC Modular (BACnet) (All versions < V3.5.4). The DHCP client application assumes that the data supplied with the “Hostname” DHCP option is NULL terminated. In cases when global hostname variable is not defined, this may lead to Out-of-bound reads, writes, and Denial-of-service conditions. (FSMD-2021-0014)","CWE-170->CWE-119","The DHCP client application assumes that the data ... is NULL terminated","assumes that the data supplied with the Hostname DHCP option is NULL terminated","Out-of-bound reads, writes","Denial-of-service","","","DHCP client application","","","","service, option, of, out, reads, bound, hostname, with, denial, supplied, writes","{""ROOTCAUSE"": ""assumes that the data supplied with the Hostname DHCP option is NULL terminated"", ""WEAKNESS"": ""Out-of-bound reads, writes"", ""IMPACT"": ""Denial-of-service"", ""VECTOR"": null, ""ATTACKER"": null, ""PRODUCT"": ""DHCP client application"", ""VERSION"": null, ""COMPONENT"": null}"
