"Description","JSON"
"Failure to validate the integer operand in ASP (AMD Secure Processor) bootloader may allow an attacker to introduce an integer overflow in the L2 directory table in SPI flash resulting in a potential denial of service.","{""ROOTCAUSE"": ""Failure to validate the integer operand"", ""WEAKNESS"": ""integer overflow"", ""IMPACT"": ""potential denial of service"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""ASP (AMD Secure Processor)"", ""VERSION"": ""nan"", ""COMPONENT"": ""bootloader""}"
"A malformed SMI (System Management Interface) command may allow an attacker to establish a corrupted SMI Trigger Info data structure, potentially leading to out-of-bounds memory reads and writes when triggering an SMI resulting in a potential loss of resources.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""out-of-bounds memory reads and writes"", ""IMPACT"": ""potential loss of resources"", ""VECTOR"": ""malformed SMI command"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""SMI (System Management Interface)""}"
"A malicious or compromised UApp or ABL may be used by an attacker to issue a malformed system call to the Stage 2 Bootloader potentially leading to corrupt memory and code execution.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""corrupt memory"", ""IMPACT"": ""code execution"", ""VECTOR"": ""malformed system call"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""nan"", ""VERSION"": ""nan"", ""COMPONENT"": ""Stage 2 Bootloader""}"
"Stack-based buffer overflow vulnerability in frontend/main.c in faad2 before 2.2.7.1 allow local attackers to execute arbitrary code via filename and pathname options.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""filename and pathname options"", ""ATTACKER"": ""local attackers"", ""PRODUCT"": ""faad2"", ""VERSION"": ""before 2.2.7.1"", ""COMPONENT"": ""frontend/main.c""}"
"In the code that verifies the file size in the ark library, it is possible to manipulate the offset read from the target file due to the wrong use of the data type. An attacker could use this vulnerability to cause a stack buffer overflow and as a result, perform an attack such as remote code execution.","{""ROOTCAUSE"": ""wrong use of the data type"", ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""remote code execution"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""ark library"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"Multiple command injections and stack-based buffer overflows vulnerabilities in the SubNet_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""command injections"", ""stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""SubNet_handler_func function of spx_restservice""}"
"Command injection and stack-based buffer overflow vulnerabilities in the KillDupUsr_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""command injection"", ""stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""KillDupUsr_func function of spx_restservice""}"
"Command injection and multiple stack-based buffer overflows vulnerabilities in the Login_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""command injection"", ""stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""Login_handler_func function of spx_restservice""}"
"A stack-based buffer overflow vulnerability in a subfunction of the Login_handler_func function of spx_restservice allows an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""subfunction of the Login_handler_func function of spx_restservice""}"
"Command injection and multiple stack-based buffer overflows vulnerabilities in the modifyUserb_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": [""Command injection"", ""stack-based buffer overflows""], ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Lanner Inc IAC-AST2500A"", ""VERSION"": ""standard firmware version 1.10.0"", ""COMPONENT"": ""modifyUserb_func function of spx_restservice""}"
"LibreDWG v0.12.3 was discovered to contain a heap-buffer overflow via decode_preR13.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""heap-buffer overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""LibreDWG"", ""VERSION"": ""v0.12.3"", ""COMPONENT"": ""decode_preR13""}"
"A Heap-based Buffer Overflow vulnerabilty exists in jhead 3.04 and 3.05 is affected by: Buffer Overflow via the RemoveUnknownSections function in jpgfile.c.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Heap-based Buffer Overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""jhead"", ""VERSION"": ""3.04 and 3.05"", ""COMPONENT"": ""RemoveUnknownSections function in jpgfile.c""}"
"A Heap-based Buffer Overflow vulnerability exists in jhead 3.04 and 3.05 via the RemoveSectionType function in jpgfile.c.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Heap-based Buffer Overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""jhead"", ""VERSION"": ""3.04 and 3.05"", ""COMPONENT"": ""RemoveSectionType function in jpgfile.c""}"
"TensorFlow is an end-to-end open source platform for machine learning. An attacker can trigger undefined behavior by binding to null pointer in `tf.raw_ops.ParameterizedTruncatedNormal`. This is because the implementation(https://github.com/tensorflow/tensorflow/blob/3f6fe4dfef6f57e768260b48166c27d148f3015f/tensorflow/core/kernels/parameterized_truncated_normal_op.cc#L630) does not validate input arguments before accessing the first element of `shape`. If `shape` argument is empty, then `shape_tensor.flat<T>()` is an empty array. The fix will be included in TensorFlow 2.5.0. We will also cherrypick this commit on TensorFlow 2.4.2, TensorFlow 2.3.3, TensorFlow 2.2.3 and TensorFlow 2.1.4, as these are also affected and still in supported range.","{""ROOTCAUSE"": ""does not validate input arguments before accessing the first element"", ""WEAKNESS"": ""nan"", ""IMPACT"": ""undefined behavior"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""TensorFlow"", ""VERSION"": ""2.5.0, 2.4.2, 2.3.3, 2.2.3 and 2.1.4"", ""COMPONENT"": ""tf.raw_ops.ParameterizedTruncatedNormal""}"
"Possible buffer overflow due to lack of range check while processing a DIAG command for COEX management in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables","{""ROOTCAUSE"": ""lack of range check"", ""WEAKNESS"": ""buffer overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""DIAG command for COEX management""}"
"Possible heap overflow due to lack of index validation before allocating and writing to heap buffer in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","{""ROOTCAUSE"": ""lack of index validation before allocating and writing to heap buffer"", ""WEAKNESS"": ""heap overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"Improper access control sequence for AC database after memory allocation can lead to possible memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Voice & Music, Snapdragon Wearables, Snapdragon Wired Infrastructure and Networking","{""ROOTCAUSE"": ""Improper access control sequence"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""AC database""}"
"Lack of MBN header size verification against input buffer can lead to memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Wearables","{""ROOTCAUSE"": ""Lack of header size verification against input buffer"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""MBN header""}"
"A race condition was addressed with improved locking. This issue is fixed in macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2. A remote attacker may be able to cause unexpected application termination or heap corruption.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""race condition"", ""IMPACT"": ""unexpected application termination or heap corruption"", ""VECTOR"": ""nan"", ""ATTACKER"": ""remote attacker"", ""PRODUCT"": ""macOS"", ""VERSION"": ""macOS Monterey 12.1, Security Update 2021-008 Catalina, macOS Big Sur 11.6.2"", ""COMPONENT"": ""nan""}"
"In Boa, there is a possible escalation of privilege due to a stack buffer overflow. This could lead to remote escalation of privilege from a proximal attacker with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: A20210008; Issue ID: OSBNB00123241.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""remote escalation of privilege"", ""VECTOR"": ""nan"", ""ATTACKER"": ""proximal attacker"", ""PRODUCT"": ""Boa"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"A vulnerability has been identified in APOGEE MBC (PPC) (BACnet) (All versions), APOGEE MBC (PPC) (P2 Ethernet) (All versions), APOGEE MEC (PPC) (BACnet) (All versions), APOGEE MEC (PPC) (P2 Ethernet) (All versions), APOGEE PXC Compact (BACnet) (All versions < V3.5.4), APOGEE PXC Compact (P2 Ethernet) (All versions < V2.8.19), APOGEE PXC Modular (BACnet) (All versions < V3.5.4), APOGEE PXC Modular (P2 Ethernet) (All versions < V2.8.19), Capital VSTAR (All versions with enabled Ethernet options), Desigo PXC00-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC00-U (All versions >= V2.3 and < V6.30.016), Desigo PXC001-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC100-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC12-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC128-U (All versions >= V2.3 and < V6.30.016), Desigo PXC200-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC22-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC22.1-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC36.1-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC50-E.D (All versions >= V2.3 and < V6.30.016), Desigo PXC64-U (All versions >= V2.3 and < V6.30.016), Desigo PXM20-E (All versions >= V2.3 and < V6.30.016), Nucleus NET (All versions), Nucleus ReadyStart V3 (All versions < V2017.02.4), Nucleus Source Code (All versions), TALON TC Compact (BACnet) (All versions < V3.5.4), TALON TC Modular (BACnet) (All versions < V3.5.4). The DHCP client application assumes that the data supplied with the “Hostname” DHCP option is NULL terminated. In cases when global hostname variable is not defined, this may lead to Out-of-bound reads, writes, and Denial-of-service conditions. (FSMD-2021-0014)","{""ROOTCAUSE"": ""assumes that the data supplied with the Hostname DHCP option is NULL terminated"", ""WEAKNESS"": ""Out-of-bound reads, writes"", ""IMPACT"": ""Denial-of-service"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""DHCP client application"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"It may be possible to have an extremely long aggregation pipeline in conjunction with a specific stage/operator and cause a stack overflow due to the size of the stack frames used by that stage. If an attacker could cause such an aggregation to occur, they could maliciously crash MongoDB in a DoS attack. This vulnerability affects MongoDB Server v4.4 versions prior to and including 4.4.28, MongoDB Server v5.0 versions prior to 5.0.4 and MongoDB Server v4.2 versions prior to 4.2.16. Workaround: >= v4.2.16 users and all v4.4 users can add the --setParameter internalPipelineLengthLimit=50 instead of the default 1000 to mongod at startup to prevent a crash. ","{""ROOTCAUSE"": ""size of the stack frames"", ""WEAKNESS"": ""stack overflow"", ""IMPACT"": ""crash MongoDB"", ""VECTOR"": ""extremely long aggregation pipeline"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""MongoDB Server"", ""VERSION"": ""v4.4 prior to and including 4.4.28, v5.0 prior to 5.0.4, v4.2 prior to 4.2.16"", ""COMPONENT"": ""aggregation pipeline""}"
"Stack-based buffer overflow in the function get_key in parse.c of abcm2ps v8.14.11 allows remote attackers to cause a Denial of Service (DoS) via unspecified vectors.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Stack-based buffer overflow"", ""IMPACT"": ""Denial of Service (DoS)"", ""VECTOR"": ""unspecified vectors"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""abcm2ps"", ""VERSION"": ""v8.14.11"", ""COMPONENT"": ""function get_key in parse.c""}"
"HyperKit is a toolkit for embedding hypervisor capabilities in an application. In versions 0.20210107 and prior of HyperKit, the implementation of `qnotify` at `pci_vtrnd_notify` fails to check the return value of `vq_getchain`. This leads to `struct iovec iov;` being uninitialized and used to read memory in `len = (int) read(sc->vrsc_fd, iov.iov_base, iov.iov_len);` when an attacker is able to make `vq_getchain` fail. This issue may lead to a guest crashing the host causing a denial of service and, under certain circumstance, memory corruption. This issue is fixed in commit 41272a980197917df8e58ff90642d14dec8fe948.","{""ROOTCAUSE"": ""Fails to check the return value"", ""WEAKNESS"": ""uninitialized memory use"", ""IMPACT"": [""guest crashing the host"", ""denial of service"", ""memory corruption""], ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""HyperKit"", ""VERSION"": ""0.20210107 and prior"", ""COMPONENT"": ""qnotify at pci_vtrnd_notify""}"
"HyperKit is a toolkit for embedding hypervisor capabilities in an application. In versions 0.20210107, function `pci_vtsock_proc_tx` in `virtio-sock` can lead to to uninitialized memory use. In this situation, there is a check for the return value to be less or equal to `VTSOCK_MAXSEGS`, but that check is not sufficient because the function can return `-1` if it finds an error it cannot recover from. Moreover, the negative return value will be used by `iovec_pull` in a while condition that can further lead to more corruption because the function is not designed to handle a negative `iov_len`. This issue may lead to a guest crashing the host causing a denial of service and, under certain circumstance, memory corruption. This issue is fixed in commit af5eba2360a7351c08dfd9767d9be863a50ebaba.","{""ROOTCAUSE"": ""function can return -1 if it finds an error it cannot recover from"", ""WEAKNESS"": ""uninitialized memory use"", ""IMPACT"": [""potentially corrupt control data in memory"", ""execute arbitrary code""], ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""HyperKit"", ""VERSION"": 0.20210107, ""COMPONENT"": ""function pci_vtsock_proc_tx in virtio-sock""}"
"Annke N48PBB (Network Video Recorder) products of version 3.4.106 build 200422 and prior are vulnerable to a stack-based buffer overflow, which allows an unauthorized remote attacker to execute arbitrary code with the same privileges as the server user (root).","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code with the same privileges as the server user (root)"", ""VECTOR"": ""nan"", ""ATTACKER"": ""unauthorized remote attacker"", ""PRODUCT"": ""Annke N48PBB (Network Video Recorder)"", ""VERSION"": ""3.4.106 build 200422 and prior"", ""COMPONENT"": ""nan""}"
"A stack-based buffer overflow vulnerability in Delta Electronics DOPSoft Version 4.00.11 and prior may be exploited by processing a specially crafted project file, which may allow an attacker to execute arbitrary code.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""processing a specially crafted project file"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Delta Electronics DOPSoft"", ""VERSION"": ""4.00.11 and prior"", ""COMPONENT"": ""nan""}"
"An issue was discovered in mjs (mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow in json_parse_array() in mjs.c.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""mjs (mJS: Restricted JavaScript engine)"", ""VERSION"": ""nan"", ""COMPONENT"": ""json_parse_array() in mjs.c""}"
"An issue was discovered in mjs (mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow in mjs_execute() in mjs.c.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""mjs (mJS: Restricted JavaScript engine)"", ""VERSION"": ""nan"", ""COMPONENT"": ""mjs_execute() in mjs.c""}"
"An issue was discovered in mjs(mJS: Restricted JavaScript engine), ES6 (JavaScript version 6). There is stack buffer overflow at 0x7fffe9049390.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""mjs (mJS: Restricted JavaScript engine)"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"Multiple camera devices by UDP Technology, Geutebrück and other vendors are vulnerable to a stack-based buffer overflow condition in the counter parameter which may allow an attacker to remotely execute arbitrary code.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack-based buffer overflow"", ""IMPACT"": ""remotely execute arbitrary code"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Multiple camera devices by UDP Technology, Geutebr\\u00fcck and other vendors"", ""VERSION"": ""nan"", ""COMPONENT"": ""counter parameter""}"
"There is a heap overflow problem in video/SDL_pixels.c in SDL (Simple DirectMedia Layer) 2.x to 2.0.18 versions. By crafting a malicious .BMP file, an attacker can cause the application using this library to crash, denial of service or Code execution.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""heap overflow"", ""IMPACT"": [""crash"", ""denial of service"", ""Code execution""], ""VECTOR"": ""crafting a malicious .BMP file"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""SDL (Simple DirectMedia Layer)"", ""VERSION"": ""2.x to 2.0.18"", ""COMPONENT"": ""video/SDL_pixels.c""}"
"libspf2 before 1.2.11 has a four-byte heap-based buffer overflow that might allow remote attackers to execute arbitrary code (via an unauthenticated e-mail message from anywhere on the Internet) with a crafted SPF DNS record, because of incorrect sprintf usage in SPF_record_expand_data in spf_expand.c. The vulnerable code may be part of the supply chain of a site's e-mail infrastructure (e.g., with additional configuration, Exim can use libspf2; the Postfix web site links to unofficial patches for use of libspf2 with Postfix; older versions of spfquery relied on libspf2) but most often is not.","{""ROOTCAUSE"": ""incorrect sprintf usage"", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""crafted SPF DNS record"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""libspf2"", ""VERSION"": ""before 1.2.11"", ""COMPONENT"": ""SPF_record_expand_data in spf_expand.c""}"
"libspf2 before 1.2.11 has a heap-based buffer overflow that might allow remote attackers to execute arbitrary code (via an unauthenticated e-mail message from anywhere on the Internet) with a crafted SPF DNS record, because of SPF_record_expand_data in spf_expand.c. The amount of overflowed data depends on the relationship between the length of an entire domain name and the length of its leftmost label. The vulnerable code may be part of the supply chain of a site's e-mail infrastructure (e.g., with additional configuration, Exim can use libspf2; the Postfix web site links to unofficial patches for use of libspf2 with Postfix; older versions of spfquery relied on libspf2) but most often is not.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""crafted SPF DNS record"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""libspf2"", ""VERSION"": ""before 1.2.11"", ""COMPONENT"": ""SPF_record_expand_data in spf_expand.c""}"
"RICOH Printer series SP products 320DN, SP 325DNw, SP 320SN, SP 320SFN, SP 325SNw, SP 325SFNw, SP 330SN, Aficio SP 3500SF, SP 221S, SP 220SNw, SP 221SNw, SP 221SF, SP 220SFNw, SP 221SFNw v1.06 were discovered to contain a stack buffer overflow in the file /etc/wpa_supplicant.conf. This vulnerability allows attackers to cause a Denial of Service (DoS) via crafted overflow data.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""stack buffer overflow"", ""IMPACT"": ""Denial of Service (DoS)"", ""VECTOR"": ""crafted overflow data"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""RICOH Printer series SP"", ""VERSION"": ""v1.06"", ""COMPONENT"": ""file /etc/wpa_supplicant.conf""}"
"Stack based buffer overflow in le_ecred_conn_req(). Zephyr versions >= v2.5.0 Stack-based Buffer Overflow (CWE-121). For more information, see https://github.com/zephyrproject-rtos/zephyr/security/advisories/GHSA-8w87-6rfp-cfrm","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""Stack based buffer overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Zephyr"", ""VERSION"": "">= v2.5.0"", ""COMPONENT"": ""le_ecred_conn_req()""}"
"Crafted web server requests may cause a heap-based buffer overflow and could therefore trigger a denial-of- service condition due to a crash in the CODESYS V2 web server prior to V1.1.9.22.","{""ROOTCAUSE"": ""nan"", ""WEAKNESS"": ""heap-based buffer overflow"", ""IMPACT"": ""denial-of-service condition due to a crash"", ""VECTOR"": ""Crafted web server requests"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""CODESYS V2 web server"", ""VERSION"": ""prior to V1.1.9.22"", ""COMPONENT"": ""nan""}"
"This vulnerability allows remote attackers to execute arbitrary code on affected installations of Bentley View 10.15.0.75. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the processing of 3DS files. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-14736.","{""ROOTCAUSE"": ""lack of proper validation of user-supplied data"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""malicious page or file"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""Bentley View"", ""VERSION"": ""10.15.0.75"", ""COMPONENT"": ""processing of 3DS files""}"
"This vulnerability allows remote attackers to execute arbitrary code on affected installations of Bentley View 10.15.0.75. User interaction is required to exploit this vulnerability in that the target must visit a malicious page or open a malicious file. The specific flaw exists within the parsing of JT files. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-14912.","{""ROOTCAUSE"": ""lack of proper validation of user-supplied data"", ""WEAKNESS"": ""memory corruption"", ""IMPACT"": ""execute arbitrary code"", ""VECTOR"": ""malicious page or file"", ""ATTACKER"": ""remote attackers"", ""PRODUCT"": ""Bentley View"", ""VERSION"": ""10.15.0.75"", ""COMPONENT"": ""parsing of JT files""}"
"This vulnerability allows local attackers to disclose sensitive information on affected installations of TeamViewer. An attacker must first obtain the ability to execute low-privileged code on the target system in order to exploit this vulnerability. The specific flaw exists within the TeamViewer service. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated array. An attacker can leverage this in conjunction with other vulnerabilities to execute arbitrary code in the context of SYSTEM. Was ZDI-CAN-13818.","{""ROOTCAUSE"": ""lack of proper validation of user-supplied data"", ""WEAKNESS"": ""read past the end of an allocated array"", ""IMPACT"": ""disclose sensitive information"", ""VECTOR"": ""nan"", ""ATTACKER"": ""local attackers"", ""PRODUCT"": ""TeamViewer"", ""VERSION"": ""nan"", ""COMPONENT"": ""TeamViewer service""}"
"Possible hypervisor memory corruption due to TOC TOU race condition when updating address mappings in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","{""ROOTCAUSE"": ""TOC TOU race condition when updating address mappings"", ""WEAKNESS"": ""nan"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"Possible out of bounds read due to improper typecasting while handling page fault for global memory in Snapdragon Connectivity, Snapdragon Mobile","{""ROOTCAUSE"": ""improper typecasting while handling page fault for global memory"", ""WEAKNESS"": ""out of bounds read"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"Improper validation of session id in PCM routing process can lead to memory corruption in Snapdragon Auto, Snapdragon Compute, Snapdragon Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile, Snapdragon Voice & Music, Snapdragon Wearables","{""ROOTCAUSE"": ""Improper validation of session id"", ""WEAKNESS"": ""nan"", ""IMPACT"": ""memory corruption"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""PCM routing process""}"
"Possible buffer overflow to improper validation of hash segment of file while allocating memory in Snapdragon Connectivity, Snapdragon Mobile","{""ROOTCAUSE"": ""improper validation of hash segment of file while allocating memory"", ""WEAKNESS"": ""buffer overflow"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
"Improper handling between export and release functions on the same handle from client can lead to use after free in Snapdragon Compute, Snapdragon Connectivity, Snapdragon Industrial IOT, Snapdragon Mobile","{""ROOTCAUSE"": ""Improper handling between export and release functions on the same handle from client"", ""WEAKNESS"": ""use after free"", ""IMPACT"": ""nan"", ""VECTOR"": ""nan"", ""ATTACKER"": ""nan"", ""PRODUCT"": ""Snapdragon"", ""VERSION"": ""nan"", ""COMPONENT"": ""nan""}"
